step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.3392552185058593,0.0624,0.1042,7.0421999664306645,3.995000227355957
1000,0.001,1.0,1.2472565460205078,0.069,0.1192,6.715053199768066,3.858738402557373
1500,0.001,1.0,1.2232714080810547,0.067,0.1262,6.510837754821777,3.8072170471191407
2000,0.001,1.0,1.2114815521240234,0.07,0.1308,6.5163715545654295,3.769487224960327
2500,0.001,1.0,1.2023011016845704,0.076,0.1308,6.515569254302979,3.756308889007568
3000,0.001,1.0,1.1970068359375,0.073,0.1348,6.552582557678223,3.7417016983032227
3500,0.001,1.0,1.1937875366210937,0.0774,0.1368,6.341954585266113,3.7350004558563232
4000,0.001,1.0,1.189592971801758,0.072,0.1374,6.5209499328613285,3.723795935821533
4500,0.001,1.0,1.188043975830078,0.0706,0.1386,6.421833054351807,3.718972093963623
5000,0.001,1.0,1.18493896484375,0.0704,0.1432,6.351886728668213,3.709803507232666
