step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.3392984008789064,0.0628,0.103,7.100435464477539,3.994666382598877
1000,0.001,1.0,1.2476134490966797,0.0676,0.1216,6.620983156585694,3.8566438133239744
1500,0.001,1.0,1.2233570098876954,0.072,0.1242,6.422167486572266,3.8055207038879395
2000,0.001,1.0,1.2117982482910157,0.0692,0.1322,6.365046711730957,3.7675427398681642
2500,0.001,1.0,1.202562484741211,0.0742,0.1314,6.4188834686279295,3.754664482498169
3000,0.001,1.0,1.1973941802978516,0.0714,0.1358,6.435555433654785,3.74074111289978
3500,0.001,1.0,1.1942335510253907,0.074,0.1386,6.294062359619141,3.7347493576049806
4000,0.001,1.0,1.1900372314453125,0.0742,0.1372,6.343015571594238,3.722801011657715
4500,0.001,1.0,1.1884630584716798,0.0748,0.1404,6.32427804107666,3.7173327102661133
5000,0.001,1.0,1.1852471160888673,0.0742,0.1418,6.3045681320190425,3.7085068214416506
