step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
500,0.001,1.0,1.3397074890136718,0.0618,0.1032,7.014327099609375,3.997310269165039
1000,0.001,1.0,1.247043914794922,0.0684,0.1188,6.60664799041748,3.8600914669036865
1500,0.001,1.0,1.2231745147705078,0.0724,0.1284,6.434568541717529,3.808629271697998
2000,0.001,1.0,1.2116091918945313,0.0798,0.132,6.343721339416504,3.7699132007598877
2500,0.001,1.0,1.2019198608398438,0.0708,0.133,6.3760676773071285,3.75605818939209
3000,0.001,1.0,1.1969336700439452,0.0702,0.1352,6.366443377685547,3.7411987602233885
3500,0.001,1.0,1.1937347412109376,0.0752,0.1392,6.436654180145264,3.735439029312134
4000,0.001,1.0,1.1893762969970703,0.0714,0.1398,6.325942852783204,3.7231496269226074
4500,0.001,1.0,1.187872085571289,0.076,0.139,6.294710202026367,3.718307345199585
5000,0.001,1.0,1.184621810913086,0.0722,0.14,6.320958619689941,3.7089949256896975
