step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4820625732421875,0.7993333111206691,0.8021666427453359,0.562892559170723,0.5666595215598742
4000,0.001,1.0,0.31194686279296874,0.8146666407585144,0.8149999737739563,0.5319268430272738,0.5312925984462102
6000,0.001,1.0,0.2966766540527344,0.8161666492621104,0.8174999783436457,0.5161019499103229,0.5159922813375791
8000,0.001,1.0,0.2887635498046875,0.8218333115180333,0.8218333135048549,0.5076542064547539,0.5058627103765806
10000,0.001,1.0,0.2835814453125,0.8256666411956152,0.8263333092133204,0.5012031883001328,0.500019408762455
12000,0.001,1.0,0.2804014892578125,0.8253333071867625,0.8273333072662353,0.4987094913919767,0.496528693040212
14000,0.001,1.0,0.27856900634765625,0.8288333078225454,0.829833310842514,0.49626798927783966,0.49421804745992026
16000,0.001,1.0,0.27706265258789065,0.8321666449308396,0.8323333104451497,0.4940269316236178,0.49257001678148904
18000,0.001,1.0,0.2753203674316406,0.8304999778668086,0.8338333119948705,0.4939898416399956,0.491346367696921
20000,0.001,1.0,0.27432431030273435,0.831666644414266,0.8334999789794286,0.49201812942822776,0.48983986924091977
22000,0.001,1.0,0.27295006713867187,0.8328333119551341,0.833166644970576,0.4913992593685786,0.4888353968660037
24000,0.001,1.0,0.2733243347167969,0.8333333084980646,0.8351666440566381,0.4892749791344007,0.48712709893782935
26000,0.001,1.0,0.2725025024414062,0.8348333130280177,0.8351666480302811,0.487703105310599,0.4865617071588834
28000,0.001,1.0,0.2720607971191406,0.8331666459639867,0.8349999785423279,0.4886357352137566,0.4857711801926295
30000,0.001,1.0,0.2716255187988281,0.834666645526886,0.8351666440566381,0.48714280823866524,0.48500296274820964
32000,0.001,1.0,0.2709958557128906,0.8341666440169017,0.8348333080609639,0.48832257787386574,0.48429894049962363
34000,0.001,1.0,0.27023767089843753,0.8344999780257543,0.8343333075443904,0.4872866188486417,0.4840626950065295
36000,0.001,1.0,0.2705279663085937,0.8329999774694443,0.835666639606158,0.4860485444466273,0.48383901913960775
38000,0.001,1.0,0.2708070556640625,0.834333312511444,0.8351666410764058,0.48595612943172456,0.4840909942984581
