step,thresh_0_0
2000,0.5
4000,0.5
6000,0.5
8000,0.5
10000,0.5
12000,0.5
14000,0.5
16000,0.5
18000,0.5
20000,0.5
22000,0.5
24000,0.5
26000,0.5
28000,0.5
30000,0.5
32000,0.5
34000,0.5
36000,0.5
38000,0.5
40000,0.5
42000,0.5
44000,0.5
46000,0.5
48000,0.5
50000,0.5
52000,0.5
54000,0.5
56000,0.5
58000,0.5
60000,0.5
62000,0.5
64000,0.5
66000,0.5
68000,0.5
70000,0.5
72000,0.5
74000,0.5
76000,0.5
78000,0.5
80000,0.5
82000,0.5
84000,0.5
86000,0.5
88000,0.5
90000,0.5
92000,0.5
94000,0.5
96000,0.5
98000,0.5
100000,0.5
102000,0.5
104000,0.5
106000,0.5
108000,0.5
