step,thresh_0_0
844,0.5
1688,0.5
2532,0.5
3376,0.5
4220,0.5
5064,0.5
5908,0.5
6752,0.5
7596,0.5
8440,0.5
9284,0.5
10128,0.5
10972,0.5
11816,0.5
12660,0.5
13504,0.5
14348,0.5
15192,0.5
16036,0.5
16880,0.5
17724,0.5
18568,0.5
19412,0.5
20256,0.5
21100,0.5
21944,0.5
22788,0.5
23632,0.5
24476,0.5
25320,0.5
26164,0.5
27008,0.5
27852,0.5
28696,0.5
29540,0.5
30384,0.5
31228,0.5
32072,0.5
32916,0.5
33760,0.5
34604,0.5
35448,0.5
36292,0.5
37136,0.5
37980,0.5
38824,0.5
39668,0.5
40512,0.5
41356,0.5
42200,0.5
