step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.8264238891601562,0.4789999884366989,0.4861999899148941,1.5162574744224548,1.4863466763496398
4000,0.001,1.0,0.6758759155273438,0.5029999858140946,0.5115999889373779,1.4217265939712525,1.4145123720169068
6000,0.001,1.0,0.63493701171875,0.5115999901294708,0.5179999881982803,1.3978735780715943,1.39231538772583
8000,0.001,1.0,0.6147376098632812,0.5167999869585037,0.5189999896287918,1.384735553264618,1.3804134821891785
10000,0.001,1.0,0.60178173828125,0.5183999884128571,0.5231999909877777,1.3780956315994262,1.3725945115089417
12000,0.001,1.0,0.5933381958007813,0.5185999822616577,0.5251999884843827,1.3760229516029359,1.3697357177734375
14000,0.001,1.0,0.5868421020507812,0.5201999890804291,0.5239999884366989,1.3709731101989746,1.366962103843689
16000,0.001,1.0,0.58264111328125,0.5189999866485596,0.5289999896287918,1.3718685555458068,1.3655057883262633
18000,0.001,1.0,0.5792182006835938,0.5233999896049499,0.5261999863386154,1.3699601006507873,1.364303596019745
20000,0.001,1.0,0.5759979248046875,0.5249999850988388,0.5259999853372573,1.3681229114532472,1.3631907105445862
22000,0.001,1.0,0.573929931640625,0.5241999888420105,0.5295999902486801,1.3706306886672974,1.3642664766311645
24000,0.001,1.0,0.571527099609375,0.5269999843835831,0.5283999884128571,1.3683228015899658,1.3629667925834656
26000,0.001,1.0,0.5698541259765625,0.5263999831676484,0.5289999866485595,1.366931459903717,1.3620855927467346
28000,0.001,1.0,0.5688397216796875,0.5203999865055084,0.5265999865531922,1.366047968864441,1.362216193675995
30000,0.001,1.0,0.5671668090820312,0.5223999845981598,0.5293999886512757,1.3650623726844788,1.3621875596046449
32000,0.001,1.0,0.5669766845703126,0.5271999883651733,0.5283999884128571,1.3650124621391297,1.362079939842224
34000,0.001,1.0,0.5655111083984375,0.525199990272522,0.529999989271164,1.3664401149749756,1.3615206027030944
36000,0.001,1.0,0.5649378662109376,0.5265999853610992,0.5293999892473221,1.3661849784851074,1.3620289778709411
38000,0.001,1.0,0.5641708984375,0.5253999865055085,0.5287999850511551,1.3649989175796509,1.3616499781608582
40000,0.001,1.0,0.5637615966796875,0.5249999886751175,0.5301999872922898,1.3666160535812377,1.361949644088745
42000,0.001,1.0,0.5630064086914063,0.5257999861240387,0.5293999892473221,1.3665746068954467,1.362240343093872
44000,0.001,1.0,0.5629285278320313,0.5241999870538712,0.5279999876022339,1.3655839514732362,1.362082839012146
46000,0.001,1.0,0.5622421264648437,0.5271999841928482,0.5295999866724014,1.3643648171424865,1.3618062734603882
48000,0.001,1.0,0.5618416748046875,0.5233999860286712,0.526199985742569,1.3638829922676086,1.361552882194519
50000,0.001,1.0,0.5612809448242188,0.5249999868869781,0.5275999850034714,1.3641008305549622,1.3618944239616395
52000,0.001,1.0,0.56148974609375,0.5233999866247178,0.5269999873638153,1.3633316445350647,1.3614548683166503
54000,0.001,1.0,0.5607462158203125,0.5251999872922898,0.5299999850988388,1.3613842296600343,1.3608519840240478
56000,0.001,1.0,0.5603648681640625,0.5233999872207642,0.5261999863386154,1.3632085132598877,1.3607404446601867
58000,0.001,1.0,0.5605588989257813,0.5247999876737595,0.5297999846935272,1.3625625967979431,1.3607393145561217
60000,0.001,1.0,0.559853271484375,0.5239999836683273,0.5275999867916107,1.3629089021682739,1.3605589938163758
62000,0.001,1.0,0.55988037109375,0.5247999876737595,0.5271999841928482,1.3626364111900329,1.3604157328605653
64000,0.001,1.0,0.559625244140625,0.5255999851226807,0.5279999858140946,1.36284339427948,1.3606688833236695
66000,0.001,1.0,0.5595850219726562,0.5257999849319458,0.5293999832868576,1.3624662470817566,1.3603545808792115
68000,0.001,1.0,0.5592296142578125,0.526599987745285,0.5275999814271927,1.3622392511367798,1.3602724385261535
70000,0.001,1.0,0.55917578125,0.5279999828338623,0.5301999843120575,1.3630272912979127,1.3600280165672303
72000,0.001,1.0,0.55875244140625,0.5253999841213226,0.5285999834537506,1.36280179977417,1.3597179746627808
74000,0.001,1.0,0.5585091552734375,0.5263999831676484,0.5315999847650528,1.3616457533836366,1.3596909952163696
76000,0.001,1.0,0.5589016723632813,0.527999986410141,0.530399985909462,1.3616250228881837,1.3600152587890626
78000,0.001,1.0,0.558377685546875,0.5293999856710434,0.5305999839305877,1.361200897693634,1.3596982836723328
80000,0.001,1.0,0.5584181518554687,0.529599986076355,0.5315999853610992,1.3623877453804016,1.3601624083518982
82000,0.001,1.0,0.5578827514648438,0.5261999869346619,0.5307999879121781,1.3620353507995606,1.3597760343551635
84000,0.001,1.0,0.5582884521484376,0.5263999855518341,0.5287999874353408,1.3617048096656799,1.3601049184799194
86000,0.001,1.0,0.5581117553710937,0.5251999831199646,0.5291999858617783,1.3624305272102355,1.3600318384170533
88000,0.001,1.0,0.5574904174804688,0.5273999857902527,0.5297999852895736,1.3625651335716247,1.360183744430542
90000,0.001,1.0,0.5579888916015625,0.5265999853610992,0.5295999848842621,1.362346079349518,1.3603759026527404
92000,0.001,1.0,0.5573920288085937,0.5281999832391739,0.5285999816656113,1.3621225905418397,1.360132246017456
94000,0.001,1.0,0.5579967651367188,0.5289999860525131,0.529399985074997,1.3627588725090027,1.3606963181495666
96000,0.001,1.0,0.557192138671875,0.5297999882698059,0.531799984574318,1.3629264903068543,1.3606762742996217
98000,0.001,1.0,0.5573681640625,0.5277999871969223,0.5311999851465226,1.3615722513198854,1.360509593486786
100000,0.001,1.0,0.5576239013671874,0.52559998691082,0.5299999856948853,1.3627972865104676,1.360968189239502
102000,0.001,1.0,0.5573510131835937,0.529599986076355,0.5303999835252762,1.3617872047424315,1.3604896020889283
104000,0.001,1.0,0.5568487548828125,0.5307999855279922,0.5307999825477601,1.3624898242950438,1.3608390831947326
106000,0.001,1.0,0.5570507812500001,0.528799986243248,0.528999981880188,1.3618202304840088,1.3605714988708497
108000,0.001,1.0,0.5570174560546876,0.5297999835014343,0.5293999838829041,1.3615130925178527,1.3606236720085143
