step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4864781951904297,0.5068,0.54,1.393001005935669,1.300434949874878
4000,0.001,1.0,0.4036799621582031,0.545,0.5752,1.2786247228622436,1.2068975536346436
6000,0.001,1.0,0.3834297943115234,0.5642,0.592,1.2352251806259156,1.1646343151092529
8000,0.001,1.0,0.37184677124023435,0.567,0.6036,1.2377125453948974,1.1396413543701172
10000,0.001,1.0,0.36493869781494137,0.5694,0.6072,1.2047815638542174,1.1263035057067872
12000,0.001,1.0,0.3591043090820312,0.5754,0.615,1.1940690601348878,1.1130893434524536
14000,0.001,1.0,0.3550924301147461,0.585,0.6162,1.17679730386734,1.105210594177246
16000,0.001,1.0,0.35174770355224605,0.5782,0.6164,1.1752620653152466,1.0997626385688781
18000,0.001,1.0,0.3486322402954101,0.582,0.6196,1.1811053148269652,1.091333362674713
20000,0.001,1.0,0.34647598266601565,0.584,0.6194,1.1643174441337585,1.08670159740448
22000,0.001,1.0,0.34336124420166014,0.5872,0.6182,1.1589973960876465,1.0837066679000855
24000,0.001,1.0,0.34246364593505857,0.5888,0.6204,1.1583090255737305,1.0823576007843017
26000,0.001,1.0,0.34130287170410156,0.5842,0.621,1.1615640612602234,1.0811572276115418
28000,0.001,1.0,0.3398300170898438,0.5852,0.6218,1.1547663415908813,1.074732207107544
30000,0.001,1.0,0.3389523315429688,0.5866,0.628,1.1588184217453004,1.0717787227630615
32000,0.001,1.0,0.33727672576904294,0.5844,0.6266,1.158659026145935,1.0687368448257446
34000,0.001,1.0,0.33701034545898434,0.5958,0.6256,1.1439915405273438,1.069736031627655
36000,0.001,1.0,0.3349464797973633,0.5962,0.6226,1.138558472442627,1.0670246084213257
38000,0.001,1.0,0.3350322723388672,0.5882,0.6272,1.1524010005950929,1.070276022529602
40000,0.001,1.0,0.3340081787109375,0.5912,0.6238,1.1461117900848388,1.0665144631385803
42000,0.001,1.0,0.3342201995849609,0.5862,0.6246,1.1505786401748657,1.0686228101730346
44000,0.001,1.0,0.33360755920410157,0.584,0.6242,1.1561118374824524,1.0666678049087523
46000,0.001,1.0,0.33297023773193357,0.5892,0.63,1.140802274131775,1.063954270362854
48000,0.001,1.0,0.3321017074584961,0.5932,0.6302,1.137376717376709,1.0595746075630188
50000,0.001,1.0,0.3320758056640625,0.5966,0.6262,1.1210968282699585,1.0606607187271118
52000,0.001,1.0,0.331905632019043,0.5938,0.6262,1.137256603050232,1.0583786818504333
54000,0.001,1.0,0.3308005142211914,0.593,0.6286,1.139520252609253,1.05745915851593
56000,0.001,1.0,0.3308291625976562,0.598,0.6256,1.1278743092536927,1.0537363327026368
58000,0.001,1.0,0.3307615280151367,0.5974,0.6244,1.129102753829956,1.0553006336212158
60000,0.001,1.0,0.33021537780761717,0.5914,0.6272,1.1523853779792785,1.0587837146759034
62000,0.001,1.0,0.33000308990478516,0.5864,0.625,1.1631061442375183,1.0582431690216065
64000,0.001,1.0,0.3297900390625,0.595,0.628,1.133596928024292,1.0543091720581055
66000,0.001,1.0,0.32907154083251955,0.5976,0.627,1.137539527130127,1.0555089303970338
68000,0.001,1.0,0.32912128448486333,0.5962,0.6286,1.1321246954917907,1.0555854829788207
70000,0.001,1.0,0.32905677795410154,0.5886,0.6258,1.1526620250701904,1.0558610891342164
72000,0.001,1.0,0.32872093200683594,0.5958,0.6276,1.1261016017913819,1.052155854988098
74000,0.001,1.0,0.32869361877441405,0.5996,0.6272,1.1360921461105347,1.0537245237350463
76000,0.001,1.0,0.3280541610717774,0.6024,0.6324,1.1257519029617309,1.0503134433746337
78000,0.001,1.0,0.3282772445678711,0.594,0.6284,1.1418582306861877,1.0513690341949462
80000,0.001,1.0,0.3276971817016602,0.6024,0.6304,1.1186806204795838,1.051417116355896
82000,0.001,1.0,0.32812992095947263,0.594,0.6318,1.1453794754981994,1.0501611736297607
84000,0.001,1.0,0.3275509643554687,0.594,0.6308,1.1313052552223206,1.050556855392456
86000,0.001,1.0,0.32714122772216797,0.5982,0.6288,1.1365493383407592,1.0507131957054139
88000,0.001,1.0,0.32695922851562503,0.592,0.6296,1.1337109230041504,1.0503566351890563
90000,0.001,1.0,0.3265400695800781,0.601,0.6302,1.1312343006134034,1.0519339328765869
92000,0.001,1.0,0.32719432830810546,0.5918,0.6282,1.142767468547821,1.0504475140571594
94000,0.001,1.0,0.3268166351318359,0.5928,0.6302,1.1349017583847045,1.0500034680366517
96000,0.001,1.0,0.3267485046386719,0.5972,0.629,1.132117683982849,1.0499844491958619
98000,0.001,1.0,0.3263367080688476,0.5906,0.6294,1.1416903182983398,1.0495756659507751
100000,0.001,1.0,0.3265684127807617,0.5986,0.6292,1.1362284204483033,1.051438729095459
102000,0.001,1.0,0.326202392578125,0.5948,0.6304,1.1343719367980958,1.049514531517029
104000,0.001,1.0,0.32624351501464843,0.5994,0.6342,1.1318090127944946,1.0492362648010254
106000,0.001,1.0,0.3257734298706055,0.5914,0.634,1.1380936027526856,1.0479537786483764
108000,0.001,1.0,0.3263225555419922,0.597,0.6316,1.1399005393028259,1.048313929080963
110000,0.001,1.0,0.3257387924194336,0.5978,0.6338,1.1380788057327271,1.0462944531440734
112000,0.001,1.0,0.32520957946777346,0.6006,0.6308,1.128488830280304,1.044860401725769
114000,0.001,1.0,0.32577823638916015,0.59,0.6304,1.1350688197135925,1.0468524167060853
116000,0.001,1.0,0.32569065093994143,0.596,0.6312,1.1285838985443115,1.044724832725525
118000,0.001,1.0,0.32532268524169916,0.5934,0.6344,1.1322520305633546,1.0441526871681213
120000,0.001,1.0,0.3251644515991211,0.5964,0.631,1.1306977054595948,1.0464258333206178
122000,0.001,1.0,0.3253123092651367,0.5964,0.631,1.1205419212341308,1.0440396257400513
124000,0.001,1.0,0.3248141860961914,0.5976,0.6298,1.1350867656707764,1.046381467628479
126000,0.001,1.0,0.32506629943847654,0.606,0.6316,1.122732038974762,1.044688466644287
128000,0.001,1.0,0.3242625045776367,0.5966,0.6308,1.125911591529846,1.0454490514755248
130000,0.001,1.0,0.3252849197387695,0.5954,0.6324,1.1374740106582641,1.0472183000564574
