step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.49331638336181644,0.4888,0.5332,1.4733126663208007,1.3168504114151
4000,0.001,1.0,0.40898311614990235,0.5516,0.5744,1.3004976198196412,1.2242756645202637
6000,0.001,1.0,0.3890173721313477,0.5572,0.5874,1.2679169258117675,1.1821702291488647
8000,0.001,1.0,0.37759292602539063,0.557,0.6,1.2614403012275697,1.1582972863197327
10000,0.001,1.0,0.3702948760986329,0.5574,0.5992,1.2470867097854614,1.146860632133484
12000,0.001,1.0,0.36473423004150396,0.5644,0.6094,1.2367408626556395,1.1290474556922914
14000,0.001,1.0,0.36074501037597656,0.5656,0.6084,1.2388801670074463,1.1218820764541626
16000,0.001,1.0,0.35701141357421873,0.5646,0.6066,1.2205543704986572,1.1178561183929443
18000,0.001,1.0,0.35371543884277346,0.563,0.6126,1.2318308475494384,1.1130652617454528
20000,0.001,1.0,0.3518376922607422,0.5586,0.6166,1.2326941110610963,1.1063001573562623
22000,0.001,1.0,0.34975395202636717,0.5728,0.6168,1.2110087354660035,1.1038847670555114
24000,0.001,1.0,0.34787567138671877,0.575,0.6166,1.2093596138000489,1.10159096326828
26000,0.001,1.0,0.346625747680664,0.5836,0.6162,1.1920036053657532,1.0979394906997682
28000,0.001,1.0,0.34511741638183596,0.5756,0.6172,1.1941164432525635,1.0927790706634521
30000,0.001,1.0,0.3441996383666992,0.5734,0.6162,1.205564968109131,1.088897389793396
32000,0.001,1.0,0.34302547454833987,0.5764,0.6206,1.2021172017097472,1.0852979005813599
34000,0.001,1.0,0.34234725952148437,0.577,0.6244,1.1993834455490113,1.0869763374328614
36000,0.001,1.0,0.34130603790283204,0.5838,0.6226,1.1922329677581787,1.082871977996826
38000,0.001,1.0,0.3408181762695312,0.5846,0.623,1.1978950128555297,1.0832277744293213
40000,0.001,1.0,0.3397874450683594,0.5864,0.6228,1.1902516015052795,1.0800698429107667
42000,0.001,1.0,0.33925529479980465,0.5718,0.6206,1.2127596323013305,1.081778498840332
44000,0.001,1.0,0.33889747619628907,0.587,0.6232,1.1856420365333558,1.0799235264778138
46000,0.001,1.0,0.33829139709472655,0.5874,0.6294,1.1823078463554382,1.0765770315170289
48000,0.001,1.0,0.3377984237670899,0.581,0.6256,1.1868041404724121,1.075067720413208
50000,0.001,1.0,0.3373060607910156,0.5834,0.6264,1.1816813730239868,1.0757967054367066
52000,0.001,1.0,0.33692226409912107,0.5882,0.6246,1.173247737312317,1.0771009880065918
54000,0.001,1.0,0.3366590118408203,0.5854,0.626,1.1873965936660766,1.0742247270584107
56000,0.001,1.0,0.3361811065673828,0.5826,0.629,1.195270428466797,1.074849796485901
58000,0.001,1.0,0.3359836578369141,0.5826,0.6268,1.2029410804748535,1.076579630470276
60000,0.001,1.0,0.3358237075805664,0.5936,0.6222,1.1647826599121094,1.0734655752182007
62000,0.001,1.0,0.3351724243164062,0.5844,0.6224,1.1952908132553102,1.0735623177528382
64000,0.001,1.0,0.33523872375488284,0.5852,0.6306,1.185199743270874,1.0722427967071533
66000,0.001,1.0,0.3348300170898438,0.5906,0.6274,1.1893077320098877,1.0733517879486083
68000,0.001,1.0,0.3348587036132813,0.5848,0.6314,1.18654354095459,1.0700551398277283
70000,0.001,1.0,0.3340580368041992,0.5766,0.6242,1.1990063738822938,1.0742035522460938
72000,0.001,1.0,0.3340840530395508,0.5908,0.6334,1.17649761428833,1.069499570083618
74000,0.001,1.0,0.33377151489257817,0.5812,0.6278,1.1784962084770203,1.0690784825325013
76000,0.001,1.0,0.3335790252685547,0.5908,0.629,1.1725309236526489,1.070065372467041
78000,0.001,1.0,0.333799934387207,0.5888,0.6276,1.1815368403434754,1.071924481868744
80000,0.001,1.0,0.33318988800048827,0.5902,0.6298,1.1792305635452272,1.0721033794403076
82000,0.001,1.0,0.333296012878418,0.5922,0.6316,1.1786901231765747,1.0707233483314513
84000,0.001,1.0,0.3331374359130859,0.5878,0.6288,1.170122825717926,1.0702590023040772
86000,0.001,1.0,0.3331984710693359,0.5766,0.6316,1.1935348236083985,1.069609247970581
88000,0.001,1.0,0.33272151947021483,0.583,0.6268,1.1780602570533751,1.0686262332916259
90000,0.001,1.0,0.33287910461425785,0.5884,0.6272,1.1832872083663941,1.0708794778823854
92000,0.001,1.0,0.3329500961303711,0.5844,0.6268,1.1762026430130006,1.0696334270477295
94000,0.001,1.0,0.33251159667968755,0.5838,0.6308,1.1802906785964966,1.0689972169876099
96000,0.001,1.0,0.3324415588378906,0.585,0.6292,1.188815030670166,1.067913104724884
98000,0.001,1.0,0.3320274353027344,0.5854,0.6284,1.1726040526390076,1.0666082363128662
100000,0.001,1.0,0.33243034362792967,0.5876,0.6278,1.1786120040893555,1.0678483160018921
102000,0.001,1.0,0.3323336029052734,0.583,0.6254,1.1838113285064698,1.0689941995620726
104000,0.001,1.0,0.33208789825439455,0.5904,0.6286,1.1695345293045043,1.0691330503463745
106000,0.001,1.0,0.3318745422363281,0.59,0.6276,1.1715199504852294,1.0675485010147094
108000,0.001,1.0,0.33194114685058596,0.5786,0.63,1.1968808659553527,1.0688202264785767
110000,0.001,1.0,0.3317540740966797,0.5862,0.6268,1.1812748090744019,1.0655430969238282
112000,0.001,1.0,0.33173385620117185,0.5828,0.6252,1.1959750604629518,1.0663117683410646
114000,0.001,1.0,0.3319366836547852,0.5826,0.6286,1.191137659072876,1.063548519039154
116000,0.001,1.0,0.3317218017578125,0.585,0.6304,1.1810113408088685,1.0634178518295287
118000,0.001,1.0,0.33109359741210936,0.5826,0.6254,1.1902753522872924,1.063376186466217
120000,0.001,1.0,0.33107982635498046,0.5898,0.6308,1.1760793360710144,1.0635020516395568
122000,0.001,1.0,0.3312750625610351,0.5886,0.6316,1.1612517344474793,1.0627844175338745
124000,0.001,1.0,0.33100936889648436,0.5836,0.633,1.1837025135040282,1.0639443143844605
126000,0.001,1.0,0.3310221862792969,0.5888,0.628,1.165153204536438,1.0640190551757813
128000,0.001,1.0,0.330700569152832,0.5894,0.6304,1.1647925965309143,1.0644345637321473
130000,0.001,1.0,0.33100868225097657,0.5862,0.6272,1.183210427761078,1.06644201669693
132000,0.001,1.0,0.3307157516479492,0.5864,0.629,1.1726598537445068,1.0621187004089356
134000,0.001,1.0,0.33092205047607426,0.5868,0.6268,1.1809382514953612,1.0645271411895751
136000,0.001,1.0,0.3303826904296875,0.592,0.6306,1.1671512319564818,1.0610949501991271
138000,0.001,1.0,0.33077957153320314,0.5844,0.6294,1.19026910238266,1.0623033153533936
140000,0.001,1.0,0.3305593490600586,0.5858,0.6302,1.1719141139030456,1.062170658493042
142000,0.001,1.0,0.3303713607788086,0.5866,0.6284,1.1754072637557984,1.0639304828643799
144000,0.001,1.0,0.33019660949707036,0.5898,0.6304,1.1734121373176574,1.0628473579406739
146000,0.001,1.0,0.3304433441162109,0.586,0.6294,1.1744004089355469,1.063385703277588
148000,0.001,1.0,0.3303219985961914,0.5896,0.6276,1.1696809556961059,1.0653588037490844
150000,0.001,1.0,0.33069324493408203,0.5884,0.627,1.161457183456421,1.0654951635360719
