step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.49799026489257814,0.4836,0.5226,1.4826913021087647,1.3533604663848877
4000,0.001,1.0,0.4193560791015625,0.5256,0.5518,1.3558906316757202,1.260304395198822
6000,0.001,1.0,0.39916984558105467,0.5346,0.5692,1.308885905456543,1.224627719974518
8000,0.001,1.0,0.38814090728759765,0.55,0.5786,1.28355419921875,1.194078659915924
10000,0.001,1.0,0.38026111602783197,0.5506,0.5806,1.2671201601982116,1.1810209131240845
12000,0.001,1.0,0.3749432373046875,0.5576,0.5868,1.248557264328003,1.1682972784996033
14000,0.001,1.0,0.37040061950683595,0.5644,0.5874,1.2392172254562377,1.1611231936454773
16000,0.001,1.0,0.3662631988525391,0.5676,0.5904,1.2356439895629883,1.1552336218833923
18000,0.001,1.0,0.36367805480957033,0.5718,0.5922,1.2141413009643556,1.1511094202041625
20000,0.001,1.0,0.36143962860107426,0.567,0.592,1.2230580917358398,1.1438963342666626
22000,0.001,1.0,0.3590256881713867,0.567,0.5918,1.2185499404907227,1.1421601558685304
24000,0.001,1.0,0.3574392318725586,0.5674,0.6004,1.2067683948516845,1.136214433860779
26000,0.001,1.0,0.3562691116333008,0.5748,0.5986,1.210485067462921,1.1364055076599122
28000,0.001,1.0,0.35473033905029294,0.5828,0.6036,1.1967113412857056,1.1304148649215697
30000,0.001,1.0,0.35363155364990234,0.581,0.5984,1.1896165252685547,1.1295659865379333
32000,0.001,1.0,0.35233947753906253,0.5808,0.5982,1.2012631393432618,1.1297157720565796
34000,0.001,1.0,0.35150878906250005,0.5736,0.6012,1.193124053955078,1.1272488785743713
36000,0.001,1.0,0.35037105560302734,0.574,0.604,1.1870548113822936,1.125555905342102
38000,0.001,1.0,0.35002750396728516,0.5844,0.6048,1.178715842628479,1.124893546485901
40000,0.001,1.0,0.3489493942260742,0.5758,0.6084,1.1920295120239257,1.121218137550354
42000,0.001,1.0,0.34865680694580076,0.5706,0.6036,1.206812007522583,1.121472188282013
44000,0.001,1.0,0.3481098175048828,0.5826,0.6042,1.178437059879303,1.1222872751235962
46000,0.001,1.0,0.3475808715820312,0.5762,0.608,1.1937814281463623,1.1174706296920776
48000,0.001,1.0,0.34643249511718754,0.5784,0.6042,1.1924552500724792,1.117061296272278
50000,0.001,1.0,0.34600727081298827,0.5732,0.6042,1.1845918254852295,1.1175326621055603
52000,0.001,1.0,0.3459845733642578,0.5864,0.6064,1.1719988023757935,1.1156624240875244
54000,0.001,1.0,0.345206184387207,0.5846,0.603,1.1764095333099365,1.1150701557159424
56000,0.001,1.0,0.3446911239624023,0.5846,0.6034,1.176419733428955,1.114351462650299
58000,0.001,1.0,0.34451412200927733,0.5712,0.599,1.2016654836654663,1.1163184867858886
60000,0.001,1.0,0.34428440093994145,0.579,0.6032,1.1791495304107666,1.1144774583816528
