step,thresh_0_0,thresh_0_1,thresh_0_2
2000,0.25,0.5,0.75
4000,0.25,0.5,0.75
6000,0.25,0.5,0.75
8000,0.25,0.5,0.75
10000,0.25,0.5,0.75
12000,0.25,0.5,0.75
14000,0.25,0.5,0.75
16000,0.25,0.5,0.75
18000,0.25,0.5,0.75
20000,0.25,0.5,0.75
22000,0.25,0.5,0.75
24000,0.25,0.5,0.75
26000,0.25,0.5,0.75
28000,0.25,0.5,0.75
30000,0.25,0.5,0.75
32000,0.25,0.5,0.75
34000,0.25,0.5,0.75
36000,0.25,0.5,0.75
38000,0.25,0.5,0.75
40000,0.25,0.5,0.75
42000,0.25,0.5,0.75
44000,0.25,0.5,0.75
46000,0.25,0.5,0.75
48000,0.25,0.5,0.75
50000,0.25,0.5,0.75
52000,0.25,0.5,0.75
54000,0.25,0.5,0.75
56000,0.25,0.5,0.75
58000,0.25,0.5,0.75
60000,0.25,0.5,0.75
62000,0.25,0.5,0.75
64000,0.25,0.5,0.75
66000,0.25,0.5,0.75
68000,0.25,0.5,0.75
70000,0.25,0.5,0.75
72000,0.25,0.5,0.75
74000,0.25,0.5,0.75
76000,0.25,0.5,0.75
78000,0.25,0.5,0.75
80000,0.25,0.5,0.75
82000,0.25,0.5,0.75
84000,0.25,0.5,0.75
86000,0.25,0.5,0.75
88000,0.25,0.5,0.75
90000,0.25,0.5,0.75
92000,0.25,0.5,0.75
94000,0.25,0.5,0.75
96000,0.25,0.5,0.75
98000,0.25,0.5,0.75
100000,0.25,0.5,0.75
102000,0.25,0.5,0.75
104000,0.25,0.5,0.75
106000,0.25,0.5,0.75
108000,0.25,0.5,0.75
110000,0.25,0.5,0.75
112000,0.25,0.5,0.75
114000,0.25,0.5,0.75
116000,0.25,0.5,0.75
118000,0.25,0.5,0.75
120000,0.25,0.5,0.75
122000,0.25,0.5,0.75
124000,0.25,0.5,0.75
126000,0.25,0.5,0.75
128000,0.25,0.5,0.75
130000,0.25,0.5,0.75
132000,0.25,0.5,0.75
134000,0.25,0.5,0.75
136000,0.25,0.5,0.75
138000,0.25,0.5,0.75
140000,0.25,0.5,0.75
142000,0.25,0.5,0.75
144000,0.25,0.5,0.75
146000,0.25,0.5,0.75
148000,0.25,0.5,0.75
150000,0.25,0.5,0.75
152000,0.25,0.5,0.75
154000,0.25,0.5,0.75
156000,0.25,0.5,0.75
158000,0.25,0.5,0.75
160000,0.25,0.5,0.75
162000,0.25,0.5,0.75
164000,0.25,0.5,0.75
166000,0.25,0.5,0.75
168000,0.25,0.5,0.75
170000,0.25,0.5,0.75
172000,0.25,0.5,0.75
174000,0.25,0.5,0.75
176000,0.25,0.5,0.75
178000,0.25,0.5,0.75
180000,0.25,0.5,0.75
182000,0.25,0.5,0.75
184000,0.25,0.5,0.75
186000,0.25,0.5,0.75
188000,0.25,0.5,0.75
190000,0.25,0.5,0.75
192000,0.25,0.5,0.75
194000,0.25,0.5,0.75
196000,0.25,0.5,0.75
198000,0.25,0.5,0.75
200000,0.25,0.5,0.75
202000,0.25,0.5,0.75
204000,0.25,0.5,0.75
206000,0.25,0.5,0.75
208000,0.25,0.5,0.75
210000,0.25,0.5,0.75
212000,0.25,0.5,0.75
214000,0.25,0.5,0.75
216000,0.25,0.5,0.75
218000,0.25,0.5,0.75
220000,0.25,0.5,0.75
222000,0.25,0.5,0.75
224000,0.25,0.5,0.75
226000,0.25,0.5,0.75
228000,0.25,0.5,0.75
230000,0.25,0.5,0.75
232000,0.25,0.5,0.75
234000,0.25,0.5,0.75
236000,0.25,0.5,0.75
238000,0.25,0.5,0.75
240000,0.25,0.5,0.75
242000,0.25,0.5,0.75
244000,0.25,0.5,0.75
246000,0.25,0.5,0.75
248000,0.25,0.5,0.75
250000,0.25,0.5,0.75
252000,0.25,0.5,0.75
254000,0.25,0.5,0.75
256000,0.25,0.5,0.75
258000,0.25,0.5,0.75
260000,0.25,0.5,0.75
262000,0.25,0.5,0.75
264000,0.25,0.5,0.75
266000,0.25,0.5,0.75
268000,0.25,0.5,0.75
270000,0.25,0.5,0.75
272000,0.25,0.5,0.75
274000,0.25,0.5,0.75
276000,0.25,0.5,0.75
278000,0.25,0.5,0.75
280000,0.25,0.5,0.75
282000,0.25,0.5,0.75
284000,0.25,0.5,0.75
286000,0.25,0.5,0.75
288000,0.25,0.5,0.75
290000,0.25,0.5,0.75
292000,0.25,0.5,0.75
294000,0.25,0.5,0.75
296000,0.25,0.5,0.75
298000,0.25,0.5,0.75
300000,0.25,0.5,0.75
302000,0.25,0.5,0.75
304000,0.25,0.5,0.75
306000,0.25,0.5,0.75
308000,0.25,0.5,0.75
310000,0.25,0.5,0.75
312000,0.25,0.5,0.75
314000,0.25,0.5,0.75
316000,0.25,0.5,0.75
318000,0.25,0.5,0.75
320000,0.25,0.5,0.75
322000,0.25,0.5,0.75
324000,0.25,0.5,0.75
326000,0.25,0.5,0.75
328000,0.25,0.5,0.75
330000,0.25,0.5,0.75
332000,0.25,0.5,0.75
334000,0.25,0.5,0.75
336000,0.25,0.5,0.75
338000,0.25,0.5,0.75
340000,0.25,0.5,0.75
342000,0.25,0.5,0.75
344000,0.25,0.5,0.75
346000,0.25,0.5,0.75
348000,0.25,0.5,0.75
350000,0.25,0.5,0.75
