step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.8249390258789062,0.4705999881029129,0.48239998579025267,1.5201670455932617,1.4845990467071533
4000,0.001,1.0,0.6764421386718751,0.4941999840736389,0.5115999853610993,1.4307135462760925,1.4175893211364745
6000,0.001,1.0,0.6361685180664063,0.5091999858617783,0.514999988079071,1.398877921104431,1.394397428035736
8000,0.001,1.0,0.614832275390625,0.5109999871253967,0.5199999850988388,1.3892180919647217,1.3819024896621703
10000,0.001,1.0,0.6016161499023438,0.5103999865055084,0.5155999857187271,1.38229012966156,1.3760027885437012
12000,0.001,1.0,0.5933922729492187,0.5135999894142151,0.5201999896764755,1.3771691060066222,1.3720452165603638
14000,0.001,1.0,0.5875145874023437,0.5137999892234802,0.519799981713295,1.376583435535431,1.3710878467559815
16000,0.001,1.0,0.582526123046875,0.5157999902963638,0.5215999841690063,1.3753884887695313,1.3702441120147706
18000,0.001,1.0,0.5798883666992187,0.5187999826669693,0.5227999866008759,1.374266586303711,1.368859384059906
20000,0.001,1.0,0.5765507202148438,0.5199999874830246,0.524599979519844,1.3755150389671327,1.3688856077194214
