step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4870071029663086,0.498,0.5398,1.451139444732666,1.3120299798965454
4000,0.001,1.0,0.40681179046630855,0.544,0.5706,1.2990217432975768,1.218829020500183
6000,0.001,1.0,0.3863859558105469,0.5616,0.5906,1.247615196800232,1.179387504863739
8000,0.001,1.0,0.374967155456543,0.5602,0.594,1.2330667823791504,1.1556561109542847
10000,0.001,1.0,0.3679308700561523,0.5704,0.5956,1.2168120118141175,1.1467644748687744
12000,0.001,1.0,0.3622432708740234,0.5786,0.6028,1.2051835948944092,1.1346799360275268
14000,0.001,1.0,0.3579643630981445,0.5686,0.601,1.2296864585876466,1.1259679092407227
16000,0.001,1.0,0.3549541473388672,0.5806,0.6104,1.195271174430847,1.116292674636841
18000,0.001,1.0,0.35230205535888676,0.578,0.6098,1.189192308807373,1.1136112469673156
20000,0.001,1.0,0.35007930755615235,0.585,0.6096,1.1931722576141357,1.1104417055130005
