step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.41091196289062504,0.825166646639506,0.839166643222173,0.4818605015675227,0.4599138314525286
4000,0.001,1.0,0.24153380126953125,0.8454999754826228,0.8513333112001419,0.435237451394399,0.4229786867896716
6000,0.001,1.0,0.22328146362304688,0.8496666471163432,0.8559999763965607,0.4229860246181488,0.4105424776673317
8000,0.001,1.0,0.21388881225585937,0.8544999808073044,0.856499977906545,0.41044829140106837,0.40316823025544485
10000,0.001,1.0,0.2070462890625,0.8573333114385605,0.8601666440566381,0.40099184537927307,0.3972850864132245
12000,0.001,1.0,0.20251712036132813,0.8564999769131343,0.8599999815225601,0.400831101834774,0.39411636839310327
14000,0.001,1.0,0.19907874755859375,0.8561666429042816,0.8583333094914755,0.39815656940142313,0.3923103297750155
16000,0.001,1.0,0.19674537963867186,0.8574999789396922,0.8619999796152115,0.398323396841685,0.3905424028635025
18000,0.001,1.0,0.1940101318359375,0.8569999804099401,0.8604999780654907,0.39655863294998805,0.3894228428602219
20000,0.001,1.0,0.19227674560546876,0.86199997762839,0.8618333121140798,0.39633766015370686,0.388353027155002
