step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
1000,0.001,1.0,0.48555417480468754,0.8276666472355525,0.8441666424274444,0.5839124242464702,0.4356329023838043
2000,0.001,1.0,0.22520698242187498,0.8451666464408238,0.8629999806483587,0.5042300805449486,0.376495718707641
3000,0.001,1.0,0.19400789794921874,0.8598333170016607,0.8758333126703898,0.44657332400480904,0.3472794545193513
4000,0.001,1.0,0.1719486328125,0.8678333093722661,0.8791666487852733,0.39603489910562834,0.3351569208006064
5000,0.001,1.0,0.15667560424804688,0.8704999774694443,0.8813333133856456,0.3808565410474936,0.32951740448673567
6000,0.001,1.0,0.14428026123046875,0.8636666427055995,0.8816666473944982,0.39686876063545545,0.32798369526863097
7000,0.001,1.0,0.1340780090332031,0.8669999818007151,0.882999978462855,0.38267934173345564,0.3220631475249926
8000,0.001,1.0,0.12496031799316407,0.8699999769528707,0.8829999804496765,0.3770871631801128,0.3216926281650861
9000,0.001,1.0,0.11865940246582031,0.8689999808867772,0.8836666474739711,0.3735116643210252,0.321638805915912
10000,0.001,1.0,0.11220343322753906,0.867333314816157,0.883999980489413,0.38341489831606546,0.3238586962223053
11000,0.001,1.0,0.10807517395019531,0.874333311120669,0.8826666504144669,0.3656627563138803,0.3225790758927663
12000,0.001,1.0,0.10303877563476563,0.8744999756415684,0.8816666454076767,0.36774309823910395,0.3245115468899409
13000,0.001,1.0,0.10029125061035157,0.8759999801715215,0.8813333123922348,0.3656168465813001,0.3264473147690296
14000,0.001,1.0,0.09580313415527345,0.8746666431427002,0.8831666489442189,0.3620974972844124,0.3262804796298345
15000,0.001,1.0,0.09317114868164063,0.8738333076238632,0.8804999808470408,0.36224395483732225,0.3274968529740969
16000,0.001,1.0,0.09005922546386719,0.8751666456460953,0.8823333114385605,0.3559922387202581,0.32822775170207025
17000,0.001,1.0,0.08864262084960937,0.8756666431824366,0.8834999779860179,0.35207794681191446,0.32762626856565474
18000,0.001,1.0,0.0860997528076172,0.8758333116769791,0.8816666493813197,0.35076226145029066,0.3294342577457428
19000,0.001,1.0,0.08460395507812499,0.8763333141803742,0.8811666458845139,0.3501521597305934,0.330337447176377
20000,0.001,1.0,0.08293352966308594,0.875166646639506,0.8823333114385605,0.3523634339372317,0.3312276892364025
