step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7655731811523437,0.48679998695850374,0.5247999882698059,1.7699612593650818,1.3502310967445375
4000,0.001,1.0,0.5462874755859375,0.5107999849319458,0.5495999848842621,1.462824387550354,1.2712519550323487
6000,0.001,1.0,0.43810333251953126,0.5341999840736389,0.5605999863147736,1.3744982433319093,1.2503532242774964
8000,0.001,1.0,0.3709677429199219,0.540399984717369,0.5553999888896942,1.3487715601921082,1.258979494571686
10000,0.001,1.0,0.3287132873535156,0.5405999863147736,0.5565999883413315,1.3328809475898742,1.2617247700691223
12000,0.001,1.0,0.30031866455078127,0.5381999850273133,0.5597999876737595,1.3250480937957763,1.2611788511276245
14000,0.001,1.0,0.2813437194824219,0.5331999856233597,0.5547999894618988,1.3227684772014618,1.266860270500183
16000,0.001,1.0,0.267579833984375,0.5409999865293503,0.5531999868154526,1.3248333525657654,1.27431614279747
18000,0.001,1.0,0.25747668457031253,0.538799986243248,0.5547999888658524,1.3224625623226165,1.2748218297958374
20000,0.001,1.0,0.24930111694335938,0.5419999897480011,0.5549999845027923,1.3134017610549926,1.2783993458747864
