step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7642889404296875,0.5083999872207642,0.5359999865293503,1.6727268028259277,1.3427751970291137
4000,0.001,1.0,0.5383225708007813,0.5519999891519547,0.5711999869346619,1.346426706314087,1.240427463054657
6000,0.001,1.0,0.4237767639160156,0.5575999855995178,0.5761999863386155,1.2931150269508362,1.2147110688686371
8000,0.001,1.0,0.35192007446289064,0.5675999808311463,0.5803999847173691,1.2467405271530152,1.2032680094242096
10000,0.001,1.0,0.3068361206054688,0.5743999898433685,0.578999987244606,1.2304511308670043,1.2033821082115173
12000,0.001,1.0,0.2783173522949218,0.5701999884843826,0.5807999861240387,1.2336798691749573,1.2067909443378448
14000,0.001,1.0,0.2587135925292969,0.5737999856472016,0.5833999907970429,1.2276502990722655,1.206725138425827
16000,0.001,1.0,0.24523904418945314,0.572199986577034,0.5851999861001969,1.2245271492004395,1.2053052639961244
18000,0.001,1.0,0.23594430541992187,0.5819999891519546,0.5821999895572663,1.2211489593982696,1.2069903314113617
20000,0.001,1.0,0.2281226806640625,0.5771999847888947,0.5831999886035919,1.2194081127643586,1.2069695460796357
