step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7957048950195312,0.4731999880075455,0.505999990105629,1.8857511520385741,1.4343948912620545
4000,0.001,1.0,0.5741165771484374,0.5205999892950058,0.5301999861001968,1.4418206524848938,1.3439518666267396
6000,0.001,1.0,0.4475740661621094,0.5229999840259552,0.5357999861240387,1.3701919651031493,1.318638982772827
8000,0.001,1.0,0.3665189208984375,0.5297999882698059,0.5417999893426895,1.3537094235420226,1.3093308424949646
10000,0.001,1.0,0.31670880126953127,0.5333999854326248,0.5397999864816666,1.3408682537078858,1.3081991386413574
12000,0.001,1.0,0.28580963134765625,0.5335999858379364,0.5411999881267547,1.3286842536926269,1.3090004134178161
14000,0.001,1.0,0.2649476318359375,0.5333999860286712,0.5397999876737595,1.323742187023163,1.3079088163375854
16000,0.001,1.0,0.2505122528076172,0.5403999841213226,0.5443999856710434,1.3203210973739623,1.3052301859855653
18000,0.001,1.0,0.24067076110839844,0.5393999874591827,0.5447999888658523,1.3158996415138244,1.3070701265335083
20000,0.001,1.0,0.23243840026855467,0.5435999923944473,0.543999988436699,1.313500256538391,1.3056495380401612
