step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.6533463745117187,0.5447999900579452,0.5545999884605408,1.305230166912079,1.2632966923713684
4000,0.001,1.0,0.42499475097656253,0.5437999868392944,0.5713999861478806,1.2939509463310241,1.2264888715744018
6000,0.001,1.0,0.32851907348632814,0.561199985742569,0.5815999871492386,1.2402119827270508,1.1963838231563568
8000,0.001,1.0,0.28200738525390623,0.5705999827384949,0.581599987745285,1.23648841381073,1.1891443467140197
10000,0.001,1.0,0.2568642578125,0.5647999858856201,0.5809999883174897,1.2374170899391175,1.1945035350322724
12000,0.001,1.0,0.2427261199951172,0.5717999887466431,0.5823999840021133,1.231776795387268,1.1870203816890716
14000,0.001,1.0,0.23597436523437498,0.5651999908685684,0.5779999852180481,1.241036627292633,1.1886663377285003
16000,0.001,1.0,0.23257952880859373,0.5619999819993973,0.5803999847173691,1.2516702151298522,1.1928360891342162
18000,0.001,1.0,0.2314688415527344,0.5619999879598617,0.5809999883174897,1.2480291318893433,1.1945260429382325
20000,0.001,1.0,0.23102777099609376,0.5639999854564667,0.5775999855995179,1.2560095191001892,1.2041378903388977
