step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.8095413208007813,0.49339998900890353,0.4945999902486801,1.9501999735832214,1.4336917567253114
4000,0.001,1.0,0.5462745971679688,0.5185999888181686,0.5401999896764755,1.529612135887146,1.315590341091156
6000,0.001,1.0,0.3610509338378906,0.5407999849319458,0.5567999917268753,1.3878299546241761,1.2628534984588624
8000,0.001,1.0,0.22279316711425778,0.5451999890804291,0.5575999879837036,1.350131757259369,1.2665668368339538
10000,0.001,1.0,0.1392274627685547,0.5467999899387359,0.553799991607666,1.3410260081291199,1.2724071264266967
12000,0.001,1.0,0.09398391723632812,0.5453999882936478,0.5541999900341034,1.3464568495750426,1.2860478210449218
14000,0.001,1.0,0.06930791473388673,0.5389999860525131,0.5545999896526337,1.3432508611679077,1.2945624434947967
16000,0.001,1.0,0.05452913665771485,0.5453999853134155,0.551199991106987,1.3400959467887879,1.3049809443950653
18000,0.001,1.0,0.04567728042602539,0.5501999831199647,0.5511999881267547,1.3389561700820922,1.3118188905715942
20000,0.001,1.0,0.03958338928222656,0.5509999871253968,0.5545999872684478,1.3426554489135742,1.3176708579063416
