step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.777989990234375,0.5073999863862991,0.529599986076355,1.8914924931526185,1.3264484477043152
4000,0.001,1.0,0.5072643127441406,0.5377999854087829,0.5695999854803085,1.4489784169197082,1.216218650341034
6000,0.001,1.0,0.33984719848632816,0.5681999832391739,0.5923999923467637,1.270517222881317,1.146562602519989
8000,0.001,1.0,0.21833114624023436,0.5937999892234802,0.6137999874353409,1.1959516394138336,1.1199571228027343
10000,0.001,1.0,0.14194284057617187,0.5953999853134155,0.6101999878883362,1.1900060701370239,1.1236544418334962
12000,0.001,1.0,0.09757034301757812,0.6049999845027924,0.6079999870061874,1.1593712055683136,1.1210480678081511
14000,0.001,1.0,0.07231510925292968,0.605999984741211,0.6117999851703644,1.1537346994876863,1.124229177236557
16000,0.001,1.0,0.05699416351318359,0.6125999850034713,0.6149999904632568,1.1463031160831452,1.1296056258678435
18000,0.001,1.0,0.04751315689086914,0.6093999916315078,0.6109999895095826,1.1555551826953887,1.1349486637115478
20000,0.001,1.0,0.04107234954833985,0.6061999863386154,0.6099999868869781,1.1601368546485902,1.1398615539073944
