step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.6453018188476562,0.51779998421669,0.538199988603592,1.4156167101860047,1.3163445138931273
4000,0.001,1.0,0.2913652038574219,0.527599984407425,0.5545999872684478,1.3451537799835205,1.2765898311138153
6000,0.001,1.0,0.13489956665039063,0.531199991106987,0.5587999880313873,1.3452850365638733,1.2838115465641022
8000,0.001,1.0,0.07866085052490235,0.5405999916791916,0.560799989104271,1.343266611099243,1.2930956435203553
10000,0.001,1.0,0.05553039169311524,0.5387999898195267,0.5605999898910522,1.347327346801758,1.303424242734909
12000,0.001,1.0,0.04555497360229492,0.5359999895095825,0.5599999839067459,1.3426114511489868,1.307153172492981
14000,0.001,1.0,0.0420268669128418,0.5373999893665313,0.5565999871492386,1.3497725176811217,1.3118353509902954
16000,0.001,1.0,0.04093110656738281,0.5331999862194061,0.5567999881505966,1.3476464533805848,1.312599799633026
18000,0.001,1.0,0.04261651611328125,0.5371999841928482,0.5575999850034714,1.3466193890571594,1.323858880996704
20000,0.001,1.0,0.04402890396118164,0.5323999899625779,0.5525999873876571,1.3490148425102233,1.3194303154945373
