step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,1.1959180450439453,0.0916,0.1736,12.619457763671875,3.5789588607788088
4000,0.001,1.0,1.1285125732421875,0.1028,0.188,11.820190600585937,3.504572216796875
6000,0.001,1.0,1.1103600311279296,0.0892,0.185,11.770191963195801,3.4781518005371095
8000,0.001,1.0,1.1000610351562499,0.097,0.1894,11.69942685546875,3.471798448944092
10000,0.001,1.0,1.093115921020508,0.0896,0.1896,11.914574081420898,3.4394971725463868
12000,0.001,1.0,1.0880278778076171,0.0928,0.1898,11.902667025756836,3.4380998863220213
14000,0.001,1.0,1.0845178985595703,0.0832,0.18,11.804152899169923,3.456340758514404
16000,0.001,1.0,1.0811834716796875,0.0932,0.1882,11.487257751464844,3.438435945892334
18000,0.001,1.0,1.0781825256347657,0.0838,0.1862,11.537960522460937,3.45352686920166
20000,0.001,1.0,1.077005081176758,0.0892,0.186,11.961607363891602,3.4453848720550537
