step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,1.2002193450927734,0.0974,0.1648,11.800989776611328,3.589344087219238
4000,0.001,1.0,1.1323699951171875,0.096,0.1766,11.665754766845703,3.551304423522949
6000,0.001,1.0,1.115237579345703,0.0904,0.1864,12.036705770874024,3.5015377975463866
8000,0.001,1.0,1.1048398590087891,0.0944,0.184,11.655124574279785,3.486078520965576
10000,0.001,1.0,1.0977879333496094,0.0896,0.1814,12.157209857177735,3.4974474174499512
12000,0.001,1.0,1.0936359405517577,0.089,0.1866,11.626871667480469,3.4747109031677246
14000,0.001,1.0,1.0904013061523439,0.0884,0.1848,11.408148095703124,3.488403939819336
16000,0.001,1.0,1.0882594299316406,0.0816,0.1858,11.719431607055665,3.4688590885162354
18000,0.001,1.0,1.0848204803466797,0.0758,0.1896,11.953127954101562,3.462730076599121
20000,0.001,1.0,1.0828263092041015,0.0796,0.1874,11.79269363708496,3.440443876647949
