step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,1.2511579132080077,0.0844,0.1376,6.476064529418945,3.77210746383667
4000,0.001,1.0,1.1930252838134765,0.0814,0.147,6.43115320892334,3.7195871215820313
6000,0.001,1.0,1.1824164581298828,0.081,0.15,6.278497050476075,3.6879782402038574
8000,0.001,1.0,1.1756446075439453,0.0836,0.1518,6.275295071411133,3.6771310638427734
10000,0.001,1.0,1.1729096221923827,0.0882,0.1546,6.08787052154541,3.6708806121826174
12000,0.001,1.0,1.1703529357910156,0.0876,0.1474,6.05155299911499,3.6702048706054686
14000,0.001,1.0,1.1683409118652344,0.0832,0.1518,6.010956797027588,3.6593708839416506
16000,0.001,1.0,1.1679264831542968,0.0854,0.1544,6.09926962890625,3.6551021865844726
18000,0.001,1.0,1.1657180786132812,0.09,0.1554,5.999212354278565,3.6435034843444822
20000,0.001,1.0,1.1649298858642578,0.088,0.156,6.056023973083496,3.640677949523926
