step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,1.2548034667968748,0.079,0.1348,6.503591945648194,3.773454621505737
4000,0.001,1.0,1.196017303466797,0.0742,0.1368,6.316293820190429,3.719465707397461
6000,0.001,1.0,1.1841597747802735,0.0768,0.1444,6.291737060546875,3.6881416561126708
8000,0.001,1.0,1.1783865356445313,0.079,0.1484,6.262484683227539,3.6774116508483887
10000,0.001,1.0,1.1754010009765625,0.0752,0.1534,6.437575647735596,3.6727894859313963
12000,0.001,1.0,1.174169921875,0.069,0.1476,6.391330825042725,3.6742376369476317
14000,0.001,1.0,1.1713311004638671,0.0698,0.1464,6.296217713165283,3.6680096031188967
16000,0.001,1.0,1.1702279663085937,0.0764,0.1578,6.1963281845092775,3.6577710079193113
18000,0.001,1.0,1.1690286254882811,0.0738,0.1488,6.191877793884277,3.6567413970947267
20000,0.001,1.0,1.1678449249267577,0.0764,0.1512,6.342982069396973,3.6488092346191405
