ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
49151232,1.3908858448266983,9216,1194648,149331,0,42666,0,0.04732079069606915,10,9.259114583333334,20605344,9216,682656,1.0,0.0,2,2,2,2.0,2.0,9216,42666,0,0.0,0.0,0.0,0.0,1.0,0.9166549477335584,0.0,0.08334505226644166,0.9166549477335584,0.5628369193268645,3072,0.0003672018438220243,1.0,1.0,0.03316864687568318,1.0,3072,0.0,0.0,7.545305395396803,4.0,24.0,0.0,0.0,semantic_balanced_hybrid,0
49151232,12.342125982046127,9216,1365312,170664,1,42666,0,0.0,2,2.0,33450144,42666,682656,1.0,7.812622072219878e-06,2,4,4,3.9999765621337833,3.9990156096189002,9216,42666,1,2.3437866216659635e-05,0.0,0.0,0.004841210270488863,1.0,,,,,0.9961327520742511,3072,0.0003259055878298817,1.0,1.0,0.03318638325334674,1.0,3072,0.00032813012703323483,0.0009843903810997047,,,,0.0048412102704888625,0.031359549688688176,semantic_balanced_hybrid,0
49151232,11.088254113215953,9216,1365312,170664,2,42666,0,0.0,2,2.0,33450144,42666,682656,1.0,1.339306640951979e-05,2,8,8,7.9998593728027,7.993132705198518,9216,42666,1,9.375146486663854e-05,0.0,0.0,0.00968208012409905,1.0,,,,,1.0,3072,0.0012478337709792063,1.0,1.0,0.03318645961278575,1.0,3072,0.0007009038087648691,0.004898514039281864,,,,0.011857800019031244,0.08286742904195919,semantic_balanced_hybrid,0
49151232,8.328324749134481,9216,1365312,170664,3,42666,0,0.0,2,2.0,33450144,42666,682656,1.0,0.00043304248057447325,2,16,16,15.993226456663386,15.967468241691277,9216,42666,2,0.006492288942014719,0.0,0.0,0.08060406229676909,1.0,,,,,1.0,3072,0.00188978678211542,1.0,1.0,0.03325773675710463,1.0,3072,0.0012615152468900186,0.01879716870576103,,,,0.08230758275951831,0.18376711865646425,semantic_balanced_hybrid,0
49151232,6.905909528955817,9216,1365312,170664,4,42666,0,0.0,2,2.0,33450144,42666,682656,1.0,0.000545313820067609,2,32,32,31.969601087516992,31.885107579805936,9216,42666,4,0.016851825809778277,0.0,0.0,0.13354207783449673,1.0,,,,,1.0,3072,0.005073128047136419,1.0,1.0,0.03334872238294931,1.0,3072,0.0016170239401211046,0.049828903576618386,,,,0.17732343151726285,0.34650748778327567,semantic_balanced_hybrid,0
49151232,6.55322647606954,9216,1365312,170664,5,42666,0,0.0,2,2.0,33450144,42666,682656,1.0,0.0012117141149632711,2,64,64,63.86324005062579,63.52805512586134,9216,42666,8,0.07596212440819387,0.0,0.0,0.29649773510666594,1.0,,,,,1.0,3072,0.010351216496183969,1.0,1.0,0.0333712452163151,1.0,3072,0.003883885489840763,0.24216003375052736,,,,0.3886607534269823,0.7210874707327514,semantic_balanced_hybrid,0
49151232,6.674422277137637,9216,1365312,170664,6,42666,0,0.0,2,2.0,33450144,42666,682656,1.0,0.002803608251796452,2,128,128,127.37343552243004,125.99974218347161,9216,42666,34,0.3530445788215441,0.0,1.0,0.6994431209506968,1.0,,,,,1.0,3072,0.020812504311483945,1.0,1.0,0.03327053307076237,1.0,3072,0.008471955301013639,1.0563680682510663,,,,0.8894377510469421,1.5422683899141356,semantic_balanced_hybrid,0
49152384,6.71776863001287,9216,1365344,170668,7,42667,0,0.0034231322624529064,3,2.0000468757324334,33450544,42666,682672,1.0,0.006036767873011654,2,256,256,253.22675604096844,247.43905125741205,9216,42667,34,1.5201443738720792,1.0,3.0,1.4599715756409255,1.0,,,,,1.0,3072,0.041742067032709385,1.0,1.0,0.03274057582875478,1.0,3072,0.018525723737807726,4.560526870883821,,,,1.9088808936877473,3.1847740986393966,semantic_balanced_hybrid,0
49152384,6.462906968779862,9216,1365344,170668,8,42667,0,0.0,2,2.0,33450928,42667,682672,1.0,0.01891521578625353,2,512,499,497.09761642487166,473.4879180631401,9216,42667,69,9.35589565706518,9.0,16.0,4.695047365536362,1.0,,,,,1.0,3072,0.08307262872109657,1.0,1.0,0.03173811752181979,1.0,3072,0.04534632480953102,21.39018445168397,,,,5.497228750163077,7.496298759007238,semantic_balanced_hybrid,0
49152384,6.656044169329107,9216,1365344,170668,9,42667,0,0.0,2,2.0,33450928,42667,682672,1.0,0.026425353338770205,2,998,930,968.6369793985984,876.4354887852438,9216,42667,140,25.558253451144914,25.0,33.0,6.1445505122174495,1.0,,,,,1.0,3072,0.1656275498039448,1.0,1.0,0.029226056737791363,1.0,3072,0.08057376732762643,70.5403473410364,,,,9.540314748521295,12.210915468530212,semantic_balanced_hybrid,0
