ancestry_bytes,construction_seconds,covered_inputs,deployed_index_bits,deployed_index_bytes_packed,depth,distinct_predecessor_pairs,duplicate_predecessor_pairs,fanout_cv,fanout_max,fanout_mean,generator_temporary_bytes,in_dim,indices_tensor_bytes,input_coverage,jaccard_overlap_mean,lut_rank,max_gate_ancestry,max_source_ancestry,mean_gate_ancestry,mean_source_ancestry,original_inputs,out_dim,overlap_max,overlap_mean,overlap_p50,overlap_p90,overlap_std,reachable_gate_fraction,same_channel_pair_fraction,same_source_pair_fraction,same_spatial_location_pair_fraction,same_threshold_pair_fraction,source_ancestry_unique_fraction,source_covered_inputs,source_cross_gate_jaccard_mean,source_group_coverage_mean,source_group_coverage_min,source_group_usage_cv_mean,source_input_coverage,source_original_inputs,source_predecessor_jaccard_mean,source_predecessor_overlap_mean,spatial_manhattan_mean,spatial_manhattan_p50,spatial_manhattan_p90,std_gate_ancestry,std_source_ancestry,strategy,unused_outputs
36864000,1.0018972480320372,9216,896000,112000,0,32000,0,0.04150301193889427,8,6.944444444444445,16338944,9216,512000,1.0,0.0,2,2,2,2.0,2.0,9216,32000,0,0.0,0.0,0.0,0.0,1.0,0.91665625,0.0,0.08334375,0.91665625,0.63834375,3072,0.0003854287113138952,1.0,1.0,0.025583197610932067,1.0,3072,0.0,0.0,7.63771875,4.0,24.0,0.0,0.0,semantic_balanced_hybrid,0
36864000,4.690215385984629,9216,960000,120000,1,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.0,2,4,4,4.0,3.998875,9216,32000,0,0.0,0.0,0.0,0.0,1.0,,,,,0.9964375,3072,0.0005937685552673521,1.0,1.0,0.025778763590169788,1.0,3072,0.000375,0.001125,,,,0.0,0.033522147529655676,semantic_balanced_hybrid,0
36864000,4.198495287040714,9216,960000,120000,2,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.00035714285714285714,2,8,8,7.9975,7.9906875,9216,32000,1,0.0025,0.0,0.0,0.04993746088859544,1.0,,,,,1.0,3072,0.0019255066006526992,1.0,1.0,0.026063755069088014,1.0,3072,0.001009672619047619,0.0070625,,,,0.04993746088859544,0.09637570930348581,semantic_balanced_hybrid,0
36864000,3.1676959820324555,9216,960000,120000,3,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.00010208333333333333,2,16,16,15.99346875,15.9736875,9216,32000,1,0.00153125,0.0,0.0,0.039101218311422214,1.0,,,,,1.0,3072,0.002443631537223554,1.0,1.0,0.026245921242547522,1.0,3072,0.0005150297619047619,0.0076875,,,,0.08055180180130982,0.16296518752098557,semantic_balanced_hybrid,0
36864000,2.5524099330068566,9216,960000,120000,4,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.0006205213133640553,2,32,32,31.96775,31.8800625,9216,32000,4,0.0191875,0.0,0.0,0.1414455366695959,1.0,,,,,1.0,3072,0.004866475962669316,1.0,1.0,0.026355607730009067,1.0,3072,0.0021862131314335153,0.0673125,,,,0.18154871935654074,0.3544220592651507,semantic_balanced_hybrid,0
36864000,2.508732251008041,9216,960000,120000,5,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.0013774711590483668,2,64,64,63.8491875,63.46875,9216,32000,9,0.0863125,0.0,0.0,0.31817864847244226,1.0,,,,,1.0,3072,0.010301385311413582,1.0,1.0,0.02653552785154408,1.0,3072,0.004676664626104986,0.291375,,,,0.40782114933356506,0.7632322303860077,semantic_balanced_hybrid,0
36864000,2.564256444980856,9216,960000,120000,6,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.002595514820387028,2,128,128,127.37109375,125.81428125,9216,32000,17,0.32728125,0.0,1.0,0.6449172298818179,1.0,,,,,1.0,3072,0.02065946402871138,1.0,1.0,0.026726109162597912,1.0,3072,0.009011463249052231,1.12321875,,,,0.8572532757073241,1.5539593932591795,semantic_balanced_hybrid,0
36864000,2.5687565249972977,9216,960000,120000,7,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.005907986098926484,2,256,256,253.2545,246.8705,9216,32000,33,1.4876875,1.0,3.0,1.4515632615713825,1.0,,,,,1.0,3072,0.04073375436034944,1.0,1.0,0.026754293969169417,1.0,3072,0.01936840824234906,4.7580625,,,,1.884487264483366,3.1892365465734898,semantic_balanced_hybrid,0
36864000,2.5650135399773717,9216,960000,120000,8,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.012268646998735,2,511,498,500.38890625,474.9094375,9216,32000,69,6.12009375,6.0,10.0,3.0564249935522607,1.0,,,,,1.0,3072,0.0821757275935169,1.0,1.0,0.02647467219165462,1.0,3072,0.039746335695309755,18.8315625,,,,4.007645278553348,6.157575491505869,semantic_balanced_hybrid,0
36864000,2.595252290018834,9216,960000,120000,9,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.025240148511298577,2,1004,921,976.18103125,878.94271875,9216,32000,143,24.59678125,24.0,32.0,6.396606200920018,1.0,,,,,1.0,3072,0.16452376847115854,1.0,1.0,0.025135298834590248,1.0,3072,0.08072906983985374,70.87615625,,,,8.296080185034583,11.116783487520049,semantic_balanced_hybrid,0
36864000,2.6030756029649638,9216,960000,120000,10,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.051539393416709926,2,1912,1579,1856.75678125,1511.89028125,9216,32000,313,95.60528125,94.0,111.0,12.923178434827804,1.0,,,,,1.0,3072,0.32295406665480236,1.0,1.0,0.021857518988852652,1.0,3072,0.16278508966541083,245.99515625,,,,16.573395499705196,17.34732668297621,semantic_balanced_hybrid,0
36864000,2.6371891850139946,9216,960000,120000,11,32000,0,0.0,2,2.0,25088000,32000,512000,1.0,0.1050811862981674,2,3472,2364,3360.55184375,2288.52740625,9216,32000,717,352.96171875,351.0,381.0,23.812544032419098,1.0,,,,,1.0,3072,0.5909333329573877,1.0,1.0,0.04071584896624356,1.0,3072,0.3213255857410002,735.25315625,,,,30.209723181876164,20.249878058829417,semantic_balanced_hybrid,0
