step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,1.0,1.0,0.666313149650552,0.1312,0.4158,16.365183630371092,1.9785990587234497
7020,1.0,1.0,0.5369517877910212,0.1086,0.499,36.112129943847656,1.7196460447311401
10530,1.0,1.0,0.5036852801287616,0.1168,0.5244,48.66638379516601,1.6839588363647462
14040,1.0,1.0,0.47934894616108,0.1074,0.546,63.75779014892578,1.6303088249206543
17550,1.0,1.0,0.4580888014573317,0.1036,0.5806,82.34156478271484,1.4290456531524658
21060,1.0,1.0,0.4452939373135906,0.1006,0.5436,99.498061328125,1.6579139450073241
24570,1.0,1.0,0.4361129282546519,0.1006,0.5938,113.47346525878906,1.385594313812256
28080,1.0,1.0,0.42781549437433225,0.1026,0.5948,118.54350780029297,1.4920923491477966
31590,1.0,1.0,0.4098981112836093,0.1008,0.5798,129.2317185546875,1.757112543296814
35100,1.0,1.0,0.40210873856503737,0.1034,0.5872,135.1561880126953,1.6772928718566895
