step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,0.001,1.0,0.7245056934845753,0.226,0.4264,41.20555835571289,1.776731661605835
7020,0.001,1.0,0.6121946155515492,0.221,0.45,48.7798181640625,1.7761240051269531
10530,0.001,1.0,0.5858270802728811,0.2486,0.465,39.549118450927736,1.6644163265228271
14040,0.001,1.0,0.5604184142544738,0.2424,0.4782,42.6441299621582,1.6281716972351075
17550,0.001,1.0,0.5438876247134304,0.2474,0.4738,39.126036305236816,1.6893259748458862
21060,0.001,1.0,0.5369103151848513,0.2318,0.5208,37.66342716369629,1.4538363800048828
24570,0.001,1.0,0.5235943916516427,0.2198,0.4064,42.18190022277832,2.0401910427093504
28080,0.001,1.0,0.516929691673344,0.21,0.4888,49.71398012084961,1.5624011203765868
31590,0.001,1.0,0.5110445810519053,0.23,0.503,39.251784295654296,1.4916178081512452
35100,0.001,1.0,0.5041823427901309,0.2254,0.4784,40.16910520629883,1.6457012769699098
