step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,0.001,1.0,0.6869084719579105,0.2146,0.4498,60.87437434082031,1.7977783325195313
7020,0.001,1.0,0.5708800747863247,0.2342,0.503,53.62920294189453,1.7468869148254396
10530,0.001,1.0,0.5428900650763444,0.226,0.5528,52.646099108886716,1.346366353225708
14040,0.001,1.0,0.5206043210803953,0.2202,0.5156,53.665576782226566,1.5048817420959473
17550,0.001,1.0,0.5055978454415955,0.2316,0.5456,48.17188080444336,1.3883205545425414
21060,0.001,1.0,0.4941570140697338,0.2402,0.5636,49.08453133544922,1.3138491096496583
24570,0.001,1.0,0.48311325899216523,0.2114,0.5356,56.852677752685544,1.4725070833206177
28080,0.001,1.0,0.4802044382122507,0.224,0.5576,49.99247387695313,1.3421475240707397
31590,0.001,1.0,0.47050463032518697,0.2438,0.5606,45.76505112915039,1.345082642364502
35100,0.001,1.0,0.46357018451745013,0.2198,0.5492,46.55981005859375,1.432890871810913
