step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,1.0,1.0,0.509540959980413,0.1548,0.5218,20.61945593261719,1.3376808788299561
7020,1.0,1.0,0.43227945094095,0.1608,0.5396,27.332326971435545,1.3420890537261962
10530,1.0,1.0,0.4054368500016693,0.1306,0.5686,37.58795425415039,1.2670894178390504
14040,1.0,1.0,0.38697797552472846,0.1286,0.5266,41.48813624267578,1.4556409580230714
17550,1.0,1.0,0.37518536603009256,0.116,0.58,44.722252416992184,1.2520636463165282
21060,1.0,1.0,0.36317965515658385,0.124,0.5884,43.66016259765625,1.2001777091979982
24570,1.0,1.0,0.35392676459418404,0.133,0.5972,42.57808217773437,1.2059522441864015
28080,1.0,1.0,0.3450954252498442,0.1358,0.5872,42.85326142578125,1.2346772287368775
31590,1.0,1.0,0.33657889080862713,0.129,0.5986,44.107122747802734,1.2074167236328126
35100,1.0,1.0,0.3321949885441706,0.1338,0.5726,45.04163759765625,1.3439416088104248
