step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,0.001,1.0,0.5518248468382746,0.2156,0.4626,25.88055658569336,1.5057848278045654
7020,0.001,1.0,0.5112139927355992,0.1988,0.4646,25.303556301879883,1.5494374509811402
10530,0.001,1.0,0.4990216116619925,0.2406,0.484,20.675276181030274,1.4809332248687743
14040,0.001,1.0,0.491523764411948,0.2362,0.4646,24.709745654296874,1.5709289875030517
17550,0.001,1.0,0.4872756914535479,0.2174,0.486,22.807635650634765,1.4568508598327636
21060,0.001,1.0,0.48346203752392714,0.1904,0.4918,28.65962014160156,1.4614340423583985
24570,0.001,1.0,0.480535393087273,0.2182,0.482,24.65475257873535,1.498517046737671
28080,0.001,1.0,0.4768119442496884,0.224,0.4646,26.661709204101562,1.5415219812393188
31590,0.001,1.0,0.47443665941895924,0.2312,0.495,25.260429028320313,1.4265840713500977
35100,0.001,1.0,0.47341545083244296,0.2076,0.502,25.171530157470702,1.4292147084236144
