step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,0.001,1.0,0.517519046098758,0.195,0.4962,27.550391802978517,1.4468266569137573
7020,0.001,1.0,0.47333541826644854,0.238,0.4748,23.123316851806642,1.4794307006835938
10530,0.001,1.0,0.46005309884704415,0.2258,0.5316,24.446637350463867,1.341987177658081
14040,0.001,1.0,0.4531362593343795,0.2468,0.5104,22.35228272705078,1.4097671472549438
17550,0.001,1.0,0.45006028743211357,0.2526,0.522,22.160843759155274,1.3561097927093506
21060,0.001,1.0,0.44424425434862447,0.2172,0.5244,26.74188929901123,1.3745943252563477
24570,0.001,1.0,0.44152927670383724,0.2432,0.5244,21.820616326904297,1.3504628917694093
28080,0.001,1.0,0.44014629135783917,0.2234,0.5316,24.02981760253906,1.3385515510559083
31590,0.001,1.0,0.43762141822749734,0.2522,0.5334,23.798788412475584,1.323405923652649
35100,0.001,1.0,0.4347854570785479,0.2516,0.5402,22.11822717285156,1.304614305305481
