step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,1.0,1.0,0.49618247703269674,0.2792,0.5074,9.619767615509033,1.3994327175140382
7020,1.0,1.0,0.43068575519442215,0.2524,0.5456,10.979123031616211,1.2801550369262695
10530,1.0,1.0,0.4100156170010907,0.2304,0.565,12.144245989990234,1.2487441970825195
14040,1.0,1.0,0.3977862409716658,0.2132,0.5494,13.096166426086425,1.289138426399231
17550,1.0,1.0,0.38817759456797546,0.211,0.5732,13.66599179840088,1.2184355360031127
21060,1.0,1.0,0.3812307591451879,0.202,0.5682,14.156331130981446,1.2268385215759277
24570,1.0,1.0,0.3754098571603454,0.2088,0.5838,13.993007297515868,1.2005714166641235
28080,1.0,1.0,0.3709644198078036,0.2168,0.5774,13.124953805541992,1.2039962406158446
31590,1.0,1.0,0.36729757194845086,0.1936,0.5806,14.167988465881347,1.1965922077178954
35100,1.0,1.0,0.3627961639665131,0.2056,0.581,13.333661596679688,1.188530841064453
