step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,0.001,1.0,0.5430626937127182,0.2566,0.4314,10.679629119110107,1.6022140605926514
7020,0.001,1.0,0.5165700885305378,0.2364,0.4436,11.89210107421875,1.5600813735961914
10530,0.001,1.0,0.5095384385850694,0.2038,0.4272,14.377039454650879,1.6159968406677245
14040,0.001,1.0,0.5054290423705707,0.2472,0.4516,11.005209738159179,1.5605902614593505
17550,0.001,1.0,0.503420011949675,0.24,0.4466,11.517430682373046,1.5408024494171142
21060,0.001,1.0,0.5020986703725961,0.2354,0.4458,12.699947444152832,1.5557264810562135
24570,0.001,1.0,0.5005969620837785,0.2374,0.4524,12.979324899291992,1.5406644165039063
28080,0.001,1.0,0.4996901726790643,0.2424,0.4426,11.949765954589843,1.5429835430145264
31590,0.001,1.0,0.49865857420483883,0.2446,0.455,11.847534268188477,1.535939569091797
35100,0.001,1.0,0.4984097820401531,0.239,0.4598,12.493668185424804,1.5202317762374877
