step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
3510,0.001,1.0,0.519717746310764,0.2914,0.4618,10.395786381530762,1.5004997886657714
7020,0.001,1.0,0.4887334926855191,0.262,0.477,10.73221276550293,1.4731362022399903
10530,0.001,1.0,0.482780434806802,0.2524,0.4798,11.974432611083984,1.4724151203155518
14040,0.001,1.0,0.47943345637742607,0.2404,0.4776,12.311451138305664,1.4580369981765746
17550,0.001,1.0,0.47765126459279295,0.2706,0.4898,10.325393713378906,1.442758070755005
21060,0.001,1.0,0.476238457226006,0.268,0.4842,10.532460670471192,1.4473320976257324
24570,0.001,1.0,0.47484903797464834,0.2484,0.486,11.021280868530273,1.4403691078186036
28080,0.001,1.0,0.4746038974859776,0.2298,0.4828,11.491561407470703,1.4529200031280518
31590,0.001,1.0,0.47396663654903404,0.2386,0.4848,11.302070706176758,1.431492766189575
35100,0.001,1.0,0.47345635829827726,0.2506,0.487,11.051146294403075,1.4341271755218505
