step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.75464484500885,0.532,0.6289,1.438796616744995,1.0470884559631348
4000,0.001,1.0,0.4226179351806641,0.6291,0.6549,1.0965316747665406,0.9781487390518189
6000,0.001,1.0,0.26760174894332883,0.6417,0.6583,1.04890780544281,0.9741227980613708
8000,0.001,1.0,0.18116417622566222,0.6511,0.6607,1.0290128556251525,0.9755637035369873
10000,0.001,1.0,0.13330349683761597,0.6578,0.6632,1.0101045343399049,0.9825510464668273
12000,0.001,1.0,0.10398967099189758,0.659,0.6648,1.0085522266387938,0.9833156744003296
14000,0.001,1.0,0.08581296420097351,0.6585,0.6623,1.0047537426948547,0.9853920689582825
16000,0.001,1.0,0.07371794068813324,0.6607,0.6657,1.0057471277236938,0.9885745011329651
18000,0.001,1.0,0.06552653205394746,0.6616,0.6642,1.009077024269104,0.9902349566459656
20000,0.001,1.0,0.0596536637544632,0.6599,0.6655,1.0084237250328063,0.9921742469787598
22000,0.001,1.0,0.05528039646148682,0.6608,0.6647,1.0118226455688477,0.9970762077331543
24000,0.001,1.0,0.052065970838069915,0.6611,0.6632,1.012858628463745,0.999433353805542
26000,0.001,1.0,0.04949372684955597,0.6616,0.6644,1.0132208112716674,1.0027819794654846
28000,0.001,1.0,0.04747067105770111,0.6614,0.6648,1.0168216141700746,1.0053833471298217
30000,0.001,1.0,0.04585463166236877,0.6623,0.6636,1.017790863418579,1.006758382320404
