step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7919990787506104,0.4758,0.6115,1.6659895179748536,1.108650151538849
4000,0.001,1.0,0.46670924663543706,0.5978,0.6377,1.1739092714309693,1.0366340264320373
6000,0.001,1.0,0.30705095076560973,0.6193,0.6416,1.1065880322933197,1.0277756922721863
8000,0.001,1.0,0.21383981680870057,0.6286,0.6424,1.0851673277854919,1.0307567132949829
10000,0.001,1.0,0.1593028781414032,0.6327,0.6416,1.0618350576400757,1.0364729139328004
12000,0.001,1.0,0.125376042842865,0.6376,0.6439,1.0642157447338105,1.0396482513427734
14000,0.001,1.0,0.10414506030082703,0.6399,0.6411,1.0642523740291596,1.040936313867569
16000,0.001,1.0,0.08963068175315857,0.6393,0.6431,1.0655826794147492,1.0453771430969239
18000,0.001,1.0,0.07977250146865845,0.6418,0.6446,1.0638671126365662,1.04857403383255
20000,0.001,1.0,0.07251107430458069,0.6458,0.6476,1.0616356208324433,1.0498122745513916
22000,0.001,1.0,0.06707739269733429,0.6437,0.6453,1.0641836145401,1.05436798081398
24000,0.001,1.0,0.06301901948451996,0.643,0.646,1.0646781351566315,1.0556733929634095
26000,0.001,1.0,0.05981682252883912,0.6424,0.647,1.0670749269485473,1.0581009688854217
28000,0.001,1.0,0.05732809793949127,0.6435,0.6448,1.070492016506195,1.0609456000804902
30000,0.001,1.0,0.05535453128814697,0.644,0.6443,1.0683379353523255,1.0609183183670043
