step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7749391031265258,0.4857,0.6191,1.6059834545135498,1.0928921346664429
4000,0.001,1.0,0.4407126340866089,0.6015,0.6468,1.168188376045227,1.0145963203430175
6000,0.001,1.0,0.2820977067947388,0.6338,0.6505,1.0685143587112427,1.0038662744522096
8000,0.001,1.0,0.19218284153938295,0.6423,0.6525,1.0478086530685424,1.0091782957077027
10000,0.001,1.0,0.1410707491636276,0.647,0.6512,1.0374033393859863,1.011678046798706
12000,0.001,1.0,0.10982994520664215,0.6485,0.653,1.0419655485153199,1.0190558263778686
14000,0.001,1.0,0.09089467489719391,0.6514,0.6541,1.045982874107361,1.0239113166809082
16000,0.001,1.0,0.07805809122323991,0.6494,0.6529,1.0455707763671875,1.029629661178589
18000,0.001,1.0,0.06937980550527573,0.6482,0.6544,1.0503293636322022,1.0339602703094481
20000,0.001,1.0,0.06307767659425735,0.6531,0.6551,1.0505369453430176,1.03727340259552
22000,0.001,1.0,0.05839147406816482,0.651,0.6547,1.0497977636337281,1.0394495122909546
24000,0.001,1.0,0.05494189262390137,0.6521,0.657,1.052641688156128,1.0408145259857178
26000,0.001,1.0,0.0521417396068573,0.6527,0.6561,1.054358770751953,1.0432447853088378
28000,0.001,1.0,0.05005522376298904,0.6521,0.6576,1.053855615234375,1.0444878381729126
30000,0.001,1.0,0.048332596719264986,0.6535,0.6578,1.0569229602813721,1.0447126815795897
