step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.7643465623855591,0.4838,0.6231,1.6511572540283204,1.0762738349914551
4000,0.001,1.0,0.4306947135925293,0.6169,0.6516,1.1406217107772827,0.9982954093933105
6000,0.001,1.0,0.274392600774765,0.6398,0.6575,1.0578551181793212,0.9935173690795899
8000,0.001,1.0,0.18430383133888245,0.6412,0.6566,1.0490383083343506,1.004498236656189
10000,0.001,1.0,0.13324749076366424,0.6471,0.6554,1.0379659107208252,1.0085989889144897
12000,0.001,1.0,0.10310109841823578,0.6488,0.6552,1.0423096332550048,1.0181799837112426
14000,0.001,1.0,0.08454642832279205,0.6512,0.6547,1.0392676342010498,1.022967742729187
16000,0.001,1.0,0.07219853460788728,0.6557,0.6593,1.0377040616989135,1.024152084159851
18000,0.001,1.0,0.06387237519025803,0.6568,0.6592,1.0384234176635743,1.0277666957855225
20000,0.001,1.0,0.05800207787752151,0.6569,0.6594,1.0427463613510133,1.0296482734680177
22000,0.001,1.0,0.05359241181612015,0.6562,0.6583,1.0410060609817504,1.0320571640014649
24000,0.001,1.0,0.050390685737133026,0.657,0.6577,1.0403109752655029,1.0329873050689697
26000,0.001,1.0,0.04781086534261703,0.655,0.6564,1.0435601276397706,1.0361656866073607
28000,0.001,1.0,0.04587005758285522,0.6588,0.6585,1.04285655670166,1.0368099697113038
30000,0.001,1.0,0.044293181002140046,0.6563,0.6585,1.0450432472229003,1.0386835243225097
