dataset,architecture,strategy,variant,candidate_pool_size,long_range_fraction,gamma,n,hard_accuracy_mean,hard_accuracy_std,hard_accuracy_ci95_normal_half_width,soft_hard_gap_mean,test_n,test_hard_accuracy_mean,test_hard_accuracy_std,mean_gate_ancestry,overlap_mean,fanout_cv_mean,mean_source_ancestry,same_source_pair_fraction_mean,training_wall_seconds_mean,peak_gpu_memory_bytes_mean,topology_construction_seconds_mean,topology_peak_temporary_bytes_mean,inference_n,inference_milliseconds_per_batch_mean,gate_count,trainable_gate_logits,deployed_gate_function_bits,deployed_index_bits,deployed_total_circuit_bits
cifar-10,DlgnCifar10Small,coverage_hybrid,v2,64,0.25,0.25,3,0.5141999864578247,0.004303487424749248,0.00486985446134097,-0.0010666656494140818,3,0.5066999855637551,0.0020808658268197558,15.994305555555556,0.0045,0.16059710706065888,15.971499999999999,0.0,737.3336148865832,113936896,4.8279060221587615,27840000,3,0.7776061757405599,48000,768000,192000,1344000,1536000
cifar-10,DlgnCifar10Small,random,v1,64,0.25,0.25,5,0.49691998708248136,0.0048756538762489,0.004273699052804731,-0.002319999694824215,5,0.4905599876642227,0.0035606180452986335,15.989283333333333,0.006116666666666667,0.0,15.961133333333335,0.00028333333333333335,734.4080643755384,113936896,0.047515757381916046,36288000,5,0.7855735778808594,48000,768000,192000,1344000,1536000
cifar-10,DlgnCifar10Small,random,v3,64,0.25,0.25,3,0.4903999861081441,0.0034176022501633896,0.0038673810150652113,0.0022666680812835813,0,,0.0,15.988472222222223,0.006083333333333333,0.0,15.96025,0.00025,137.38566289655864,113936896,0.047088185946146645,36288000,0,,48000,768000,192000,1344000,1536000
cifar-10,DlgnCifar10Small,semantic_balanced_hybrid,v3,8,0.25,0.25,9,0.4897110990848806,0.11409412995447779,0.07454149823692549,-0.0031777775453196554,5,0.5235799872279168,0.0028154929842256933,15.993490740740741,0.002712962962962963,0.0,15.973824074074074,0.0,454.90631747602794,113936896,9.335824062582105,9408000,5,0.7848756561279296,48000,768000,192000,1344000,1536000
fashion-mnist,DlgnFashionMnistPaperSmall,coverage_hybrid,v2,64,0.0,0.25,1,0.8746666481097539,0.0,0.0,0.0021666665871937774,0,,0.0,63.120625,0.456125,0.0,,,892.7167029678822,106689536,0.025570767931640148,4864000,0,,48000,768000,192000,1232000,1424000
fashion-mnist,DlgnFashionMnistPaperSmall,coverage_hybrid,v2,64,0.25,0.25,3,0.8747222026189169,0.0025513259421236713,0.0028870970901721314,0.002333334088325515,3,0.8634999779860179,0.000916514199900311,63.517208333333336,0.30825,0.222333604059044,55.15258333333333,0.22041666666666665,902.2170987248732,106689536,2.46844771442314,4864000,3,1.1358625030517577,48000,768000,192000,1232000,1424000
fashion-mnist,DlgnFashionMnistPaperSmall,coverage_hybrid,v2,64,0.5,0.25,1,0.8729999850193659,0.0,0.0,0.0008333255847294829,0,,0.0,63.68975,0.31025,0.31064449134018135,,,893.1036552689038,106689536,4.871088276617229,4864000,0,,48000,768000,192000,1232000,1424000
fashion-mnist,DlgnFashionMnistPaperSmall,coverage_hybrid,v2,64,0.75,0.25,1,0.8769999792178472,0.0,0.0,0.0019999980926512784,0,,0.0,63.886,0.114,0.23062415311497622,,,865.6631441880018,106689536,7.267633070703596,4864000,0,,48000,768000,192000,1232000,1424000
fashion-mnist,DlgnFashionMnistPaperSmall,coverage_hybrid,v2,64,1.0,0.25,1,0.8751666456460953,0.0,0.0,-0.0004999955495198494,0,,0.0,64.0,0.0,0.1823458252881047,,,900.8238601139747,106689536,9.706018809229136,4864000,0,,48000,768000,192000,1232000,1424000
fashion-mnist,DlgnFashionMnistPaperSmall,random,v1,64,0.25,0.25,5,0.874766646027565,0.0018318187231575603,0.0016056599054753717,0.0006666668256123832,5,0.8630799812078476,0.0018646708405997837,63.164375,0.424475,0.0,61.51075,0.00105,903.8015846287832,106689536,0.028871721122413874,16128000,5,1.1364269256591797,48000,768000,192000,1232000,1424000
fashion-mnist,DlgnFashionMnistPaperSmall,semantic_balanced_hybrid,v3,8,0.25,0.25,5,0.881666648387909,0.002223609394421123,0.0019490795704424468,0.0009666649500528867,5,0.8715799795389175,0.0027635117965887747,63.443200000000004,0.30475,0.0,62.044624999999996,0.0,891.1273011134938,106689536,5.050831867847592,1792000,5,1.135949493408203,48000,768000,192000,1232000,1424000
mnist,DlgnMnistPaperSmall,coverage_hybrid,v2,64,0.25,0.25,3,0.9718333042330212,0.0002886768667040084,0.00032666862673273885,-0.0011111100514729817,3,0.9725333114465078,0.0009073755080301319,62.51029166666667,0.96225,0.3360416436756732,,,897.6976140990542,106689536,1.9372327579185367,1792000,0,,48000,768000,192000,1200000,1392000
mnist,DlgnMnistPaperSmall,random,v1,64,0.25,0.25,3,0.9714999705553055,0.0005773514392233877,0.000653334657351176,-0.0005555550257364908,3,0.9718333107233048,0.0016802779082974158,61.48733333333333,1.2505,0.0,,,899.7036493889367,106689536,0.02503388716528813,16128000,0,,48000,768000,192000,1200000,1392000
mnist,DlgnMnistTiny,coverage_hybrid,v2,32,0.25,0.25,2,0.8273607336956521,0.003963064500536027,0.005492527173913057,0.00798233695652173,0,,0.0,31.72,0.2,0.2218654741224962,,,8.288718786789104,14439424,0.11545767518691719,224000,0,,5000,80000,20000,100000,120000
mnist,DlgnMnistTiny,random,v1,64,0.25,0.25,2,0.8297384510869565,0.004683621682451704,0.006491168478260935,0.006963315217391242,0,,0.0,31.391,0.316,0.0,,,8.38602676265873,14439424,0.0009387186728417873,272000,0,,5000,80000,20000,100000,120000
