family,seed,run_dir,best_validation_hard_accuracy,wall_seconds,topology_construction_seconds,dense_gate_count,trainable_parameters,deployed_routing_bits,cost_recovered_from_architecture,connections_init_method,coverage_swap_fraction
balanced_butterfly,0,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/ablate_cifar10_medium_balanced_butterfly_seed0,0.5959999883174896,459.15449754096335,5.980813575966749,512000,8192000,16640000,False,butterfly,0.25
balanced_butterfly,1,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/ablate_cifar10_medium_balanced_butterfly_seed1,0.5877999901771546,462.14416964596603,5.898884052992798,512000,8192000,16640000,False,butterfly,0.25
balanced_butterfly,2,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/ablate_cifar10_medium_balanced_butterfly_seed2,0.58559998691082,459.9103077959735,4.728706865978893,512000,8192000,16640000,False,butterfly,0.25
coverage_v3,0,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/pilot_cifar10_medium_semantic_balanced_v3_seed0,0.594799988269806,458.53354154294357,108.0402822769247,512000,8192000,16640000,True,semantic_balanced_hybrid,0.25
coverage_v3,1,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/pilot_cifar10_medium_semantic_balanced_v3_seed1,0.5933999860286713,463.44578750105575,108.21310679381713,512000,8192000,16640000,True,semantic_balanced_hybrid,0.25
coverage_v3,2,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/pilot_cifar10_medium_semantic_balanced_v3_seed2,0.5905999875068665,463.43881214084104,107.37076669419184,512000,8192000,16640000,True,semantic_balanced_hybrid,0.25
random,0,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/pilot_cifar10_medium_random_v3_seed0,0.5539999890327454,458.85040653217584,5.693376813549548,512000,8192000,16640000,True,random,0.25
random,1,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/pilot_cifar10_medium_random_v3_seed1,0.5469999849796295,463.128725789953,5.652607743628323,512000,8192000,16640000,True,random,0.25
random,2,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/pilot_cifar10_medium_random_v3_seed2,0.5435999894142151,461.3578310520388,5.037879287265241,512000,8192000,16640000,True,random,0.25
semantic_first_no_swaps,0,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/ablate_cifar10_medium_semantic_first_no_swaps_seed0,0.5941999846696854,462.59792203700636,12.341564966016449,512000,8192000,16640000,False,semantic_balanced_hybrid,0.0
semantic_first_no_swaps,1,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/ablate_cifar10_medium_semantic_first_no_swaps_seed1,0.5911999881267548,459.01282242301386,12.0330701310304,512000,8192000,16640000,False,semantic_balanced_hybrid,0.0
semantic_first_no_swaps,2,/ssd1/users/ianagno/my-repos/DLCA_DLGN_coverageDLGN/repos/torchlogix/experiments/coverage_dlgn/results/ablate_cifar10_medium_semantic_first_no_swaps_seed2,0.5921999883651733,463.5120583009557,12.379531376005616,512000,8192000,16640000,False,semantic_balanced_hybrid,0.0
