step,v4_hard_validation,random_hard_validation,hard_delta_pp,v4_relaxed_validation,random_relaxed_validation,relaxed_delta_pp,v4_train_loss,random_train_loss
2000,0.4314,0.4114,2.0000000000000018,0.6188,0.6168,0.20000000000000018,0.44523910522460936,0.44961269378662105
4000,0.5472,0.504,4.320000000000002,0.6576,0.6482,0.9399999999999964,0.33307632446289065,0.34154075622558594
6000,0.6208,0.5688,5.200000000000005,0.6734,0.675,-0.16000000000000458,0.2991925621032715,0.30848213195800783
8000,0.6502,0.6054,4.479999999999995,0.684,0.689,-0.49999999999998934,0.2783990478515625,0.2876470947265625
10000,0.6632,0.6234,3.9800000000000058,0.6952,0.6914,0.38000000000000256,0.2631740760803223,0.2727074241638184
12000,0.6698,0.6578,1.19999999999999,0.6988,0.704,-0.5199999999999982,0.2515464973449707,0.26105966567993166
14000,0.6784,0.6662,1.2199999999999989,0.7034,0.7058,-0.23999999999999577,0.2422503089904785,0.25200469970703127
16000,0.6812,0.678,0.31999999999999806,0.7034,0.7058,-0.23999999999999577,0.23445999145507812,0.24464954376220704
18000,0.6822,0.6866,-0.43999999999999595,0.7086,0.7086,0.0,0.22782276153564454,0.2377248001098633
20000,0.6836,0.6774,0.6199999999999983,0.7094,0.712,-0.25999999999999357,0.222482852935791,0.2327256393432617
22000,0.6892,0.6814,0.7800000000000029,0.7174,0.7156,0.18000000000000238,0.21709262847900393,0.2273098373413086
24000,0.696,0.6812,1.4799999999999924,0.7148,0.7096,0.5199999999999982,0.21356882095336913,0.22368860244750977
26000,0.69,0.6822,0.7799999999999918,0.7172,0.7092,0.7999999999999896,0.20945823669433594,0.2193939781188965
28000,0.6896,0.6858,0.38000000000000256,0.721,0.7118,0.9199999999999986,0.20647136688232423,0.21634458541870116
30000,0.6952,0.6886,0.660000000000005,0.7218,0.716,0.5800000000000027,0.20316734313964843,0.2130536460876465
32000,0.6908,0.688,0.28000000000000247,0.7244,0.717,0.7400000000000073,0.20043395996093752,0.21006315231323242
34000,0.689,0.6834,0.5599999999999938,0.7186,0.7124,0.6199999999999983,0.19800838470458987,0.20815860748291015
36000,0.701,0.6936,0.7399999999999962,0.7226,0.7168,0.5800000000000027,0.19505138397216795,0.20509458541870115
