study,run,variant,seed,budget,depth,architecture,iterations,validation_hard_accuracy,validation_selection_step,test_hard_accuracy,inference_milliseconds_per_batch,training_wall_seconds,peak_gpu_memory_bytes,dense_gate_count,training_implementation_sha256
medium_full,paper_cifar10_medium_random_seed0,random,0,512k,4,DlgnCifar10Medium,108000,0.5539999890327454,18000,0.5389999881386757,3.5693618774414064,2481.3807126232423,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_semantic_balanced_v3_seed0,v3,0,512k,4,DlgnCifar10Medium,108000,0.5997999888658524,98000,0.584499985575676,3.5215838623046873,2473.3868457172066,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_random_seed1,random,1,512k,4,DlgnCifar10Medium,108000,0.5533999866247177,44000,0.5420999869704246,3.58790771484375,2510.697318878025,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_semantic_balanced_v3_seed1,v3,1,512k,4,DlgnCifar10Medium,108000,0.5933999860286713,16000,0.5806999868154525,3.5342333984375,2501.776503838133,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_random_seed2,random,2,512k,4,DlgnCifar10Medium,108000,0.547399987578392,36000,0.5417999872565269,3.5704754638671874,2481.630376996007,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_semantic_balanced_v3_seed2,v3,2,512k,4,DlgnCifar10Medium,108000,0.5943999856710434,102000,0.5854999834299087,3.5230694580078126,2472.555072260089,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_random_seed3,random,3,512k,4,DlgnCifar10Medium,108000,0.5499999898672104,28000,0.5385999861359596,3.5870285034179688,2509.7513274238445,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_semantic_balanced_v3_seed3,v3,3,512k,4,DlgnCifar10Medium,108000,0.5951999884843826,44000,0.5839999887347221,3.5361065673828125,2500.9505735281855,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_random_seed4,random,4,512k,4,DlgnCifar10Medium,108000,0.5493999868631363,36000,0.5398999851942062,3.5910845947265626,2480.307985445019,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
medium_full,paper_cifar10_medium_semantic_balanced_v3_seed4,v3,4,512k,4,DlgnCifar10Medium,108000,0.5951999843120575,32000,0.579499988257885,3.521490173339844,2496.277104525361,1206192640,512000,adac81af2820597c69f477d8ffd91ef57a56f28a95ad8f9fa9713bca33d0c68b
depth,pilot_cifar10_random_v3_seed0,random,0,48k,4,DlgnCifar10Small,20000,0.49359998404979705,20000,,,137.17451114905998,113936896,48000,
depth,pilot_cifar10_semantic_balanced_v3_seed0,v3,0,48k,4,DlgnCifar10Small,20000,0.517399987578392,8000,,,137.7142259287648,113936896,48000,
depth,pilot_cifar10_random_v3_seed1,random,1,48k,4,DlgnCifar10Small,20000,0.486799983382225,18000,,,138.06070344382897,113936896,48000,
