name,phase,coordinate,family,seed,provenance,scope,best_validation_hard_pct,final_validation_hard_pct,final_gap_pp,wall_minutes,peak_gpu_gib,topology_seconds
fourth_mechanism_dense_m_random_seed0,mechanism,dense_m,random,0,REPRODUCED,V,55.399998903274536,55.23999911546708,-2.980232283178452e-07,7.647506775536264,1.123354434967041,5.693376813549548
fourth_mechanism_dense_m_balanced_random_seed0,mechanism,dense_m,balanced_random,0,OUR,V,58.79999899864197,58.539999067783356,0.4599994421005227,7.732237754149052,1.123354434967041,11.560981644317508
fourth_mechanism_dense_m_nominal_seed0,mechanism,dense_m,nominal,0,OUR,V,59.2199986577034,59.2199986577034,0.11999988555908558,7.753723536354179,1.123354434967041,13.648843506816775
fourth_mechanism_dense_m_u2_seed0,mechanism,dense_m,u2,0,OUR,V,58.85999858379364,58.779998779296875,0.02000010013580855,7.7646769039022425,1.123354434967041,14.094997976440936
fourth_mechanism_dense_m_random_seed1,mechanism,dense_m,random,1,REPRODUCED,V,54.69999849796295,54.69999849796295,0.3199999332427983,7.718812096499217,1.123354434967041,5.652607743628323
fourth_mechanism_dense_m_balanced_random_seed1,mechanism,dense_m,balanced_random,1,OUR,V,58.419998824596405,58.379998624324806,0.3400000929832392,7.75572400225016,1.123354434967041,11.585191311314702
fourth_mechanism_dense_m_nominal_seed1,mechanism,dense_m,nominal,1,OUR,V,58.79999864101409,58.51999884843826,0.03999966382980391,7.747305650364918,1.123354434967041,13.628942592069507
fourth_mechanism_dense_m_u2_seed1,mechanism,dense_m,u2,1,OUR,V,59.47999894618988,59.47999894618988,-4.768371586472142e-07,7.749268172952967,1.123354434967041,14.127651053946465
fourth_mechanism_dense_m_random_seed2,mechanism,dense_m,random,2,REPRODUCED,V,54.35999894142151,54.11999827623367,-0.019999682903293348,7.689297184200647,1.123354434967041,5.037879287265241
fourth_mechanism_dense_m_balanced_random_seed2,mechanism,dense_m,balanced_random,2,OUR,V,58.7199986577034,58.25999850034713,0.6599996685981768,7.7577552707400175,1.123354434967041,11.600157531909645
fourth_mechanism_dense_m_nominal_seed2,mechanism,dense_m,nominal,2,OUR,V,59.63999849557876,59.63999849557876,0.10000020265579224,7.752910693098481,1.123354434967041,13.666814035270363
fourth_mechanism_dense_m_u2_seed2,mechanism,dense_m,u2,2,OUR,V,59.059998869895935,59.059998869895935,-0.060000181198116564,7.747942979920966,1.123354434967041,14.108400534838438
fourth_mechanism_conv_s_random_seed0,mechanism,conv_s,random,0,REPRODUCED,V,55.00000000000001,55.00000000000001,4.8799999999999955,17.00059340520141,1.8306565284729004,0.2027540602721274
fourth_mechanism_conv_s_balanced_random_seed0,mechanism,conv_s,balanced_random,0,OUR,V,58.68,58.660000000000004,2.959999999999996,17.094462456647307,1.8306818008422852,0.9709384110756218
fourth_mechanism_conv_s_nominal_seed0,mechanism,conv_s,nominal,0,OUR,V,58.599999999999994,58.379999999999995,3.420000000000001,17.34754339871773,1.8306818008422852,1.1248894813470542
fourth_mechanism_conv_s_u2_seed0,mechanism,conv_s,u2,0,OUR,V,58.5,58.4,3.5399999999999987,17.026759455465555,1.8306818008422852,1.3817472774535418
fourth_mechanism_conv_s_random_seed1,mechanism,conv_s,random,1,REPRODUCED,V,57.96,56.24,3.8599999999999968,16.99831913501645,1.8306565284729004,0.200106140691787
fourth_mechanism_conv_s_balanced_random_seed1,mechanism,conv_s,balanced_random,1,OUR,V,58.879999999999995,58.879999999999995,3.2399999999999984,17.11830018015268,1.8306818008422852,0.9704066575504839
fourth_mechanism_conv_s_nominal_seed1,mechanism,conv_s,nominal,1,OUR,V,58.940000000000005,58.940000000000005,2.0000000000000018,17.130250295787118,1.8306818008422852,1.1092741112224758
fourth_mechanism_conv_s_u2_seed1,mechanism,conv_s,u2,1,OUR,V,59.540000000000006,59.540000000000006,2.6999999999999913,17.022426345284718,1.8306818008422852,1.3740846130531281
fourth_mechanism_conv_s_random_seed2,mechanism,conv_s,random,2,REPRODUCED,V,58.46,57.68,2.539999999999998,17.004843000656304,1.8306565284729004,0.20047544967383146
fourth_mechanism_conv_s_balanced_random_seed2,mechanism,conv_s,balanced_random,2,OUR,V,58.34,57.9,4.2200000000000015,17.103627649252303,1.8306818008422852,0.9639622624963522
fourth_mechanism_conv_s_nominal_seed2,mechanism,conv_s,nominal,2,OUR,V,57.220000000000006,56.84,4.9399999999999995,17.121649477103105,1.8306818008422852,1.126188154798001
fourth_mechanism_conv_s_u2_seed2,mechanism,conv_s,u2,2,OUR,V,58.5,58.5,2.4600000000000066,17.00599601381691,1.8306818008422852,1.3827828671783209
fourth_factorial_conv_s_random_seed0,factorial,conv_s,random,0,REPRODUCED,V,55.00000000000001,55.00000000000001,4.8799999999999955,17.00059340520141,1.8306565284729004,0.2027540602721274
fourth_factorial_conv_s_body_seed0,factorial,conv_s,body,0,OUR,V,58.24,58.24,3.0399999999999983,17.02381022873645,1.8306818008422852,0.2163793514482677
fourth_factorial_conv_s_head_seed0,factorial,conv_s,head,0,OUR,V,56.96,56.96,2.5599999999999956,17.02605815178249,1.8306565284729004,1.360320988111198
fourth_factorial_conv_s_both_seed0,factorial,conv_s,both,0,OUR,V,58.5,58.4,3.5399999999999987,17.026759455465555,1.8306818008422852,1.3817472774535418
fourth_factorial_conv_s_random_seed1,factorial,conv_s,random,1,REPRODUCED,V,57.96,56.24,3.8599999999999968,16.99831913501645,1.8306565284729004,0.200106140691787
fourth_factorial_conv_s_body_seed1,factorial,conv_s,body,1,OUR,V,58.18,57.99999999999999,3.9000000000000035,17.101590828830375,1.8306818008422852,0.21962233632802963
fourth_factorial_conv_s_head_seed1,factorial,conv_s,head,1,OUR,V,56.82000000000001,56.49999999999999,3.0400000000000094,17.129710592034584,1.8306565284729004,1.3665924919769168
