dataset,strategy,step,n,hard_accuracy_mean,hard_accuracy_std,soft_accuracy_mean,soft_accuracy_std
cifar-10,hybrid-v2,2000,3,0.4551333204905192,0.004148892924855228,0.46693332274754845,0.004401514286223718
cifar-10,hybrid-v2,4000,3,0.4846666536728541,0.0031134128477971305,0.49493332028388975,0.0031134115970244906
cifar-10,hybrid-v2,6000,3,0.4937333182493846,0.008040729883179323,0.49906665484110513,0.0061329713295628155
cifar-10,hybrid-v2,8000,3,0.49533331910769146,0.008732314231036905,0.5012666543324789,0.005832094038199478
cifar-10,hybrid-v2,10000,3,0.5002666544914246,0.0003055051451824289,0.5043333206574122,0.005300314413047635
cifar-10,hybrid-v2,12000,3,0.5025333187977473,0.002548201413799585,0.5073999871810277,0.0026229779984466026
cifar-10,hybrid-v2,14000,3,0.504733320871989,0.002610237119872793,0.5063333191474279,0.00253245831193336
cifar-10,hybrid-v2,16000,3,0.5049999870856603,0.0032186958367690028,0.5074666537841162,0.004455708163947865
cifar-10,hybrid-v2,18000,3,0.5013333213329315,0.004570922965379759,0.5067999869585037,0.0036660599862674468
cifar-10,hybrid-v2,20000,3,0.5015999891360601,0.004915281750625793,0.5074666541814804,0.0027153877210242877
cifar-10,hybrid-v2,22000,3,0.503533319234848,0.004110149496992011,0.5066666557391485,0.002081666209442732
cifar-10,hybrid-v2,24000,3,0.5061333209276199,0.003534592844767876,0.506933320760727,0.0025006677444701546
cifar-10,hybrid-v2,26000,3,0.5069999853769938,0.001562049857339184,0.5071999863783518,0.0006000003218656964
cifar-10,hybrid-v2,28000,3,0.5053333204984665,0.002274498147771959,0.5084666556119919,0.0015534897870296913
cifar-10,hybrid-v2,30000,3,0.5053999857107798,0.001216551688827773,0.5081999876101811,0.0016370700854224031
cifar-10,hybrid-v2,32000,3,0.5045999864737193,0.00020000100136276694,0.5073999869823456,0.001199999153614184
cifar-10,hybrid-v2,34000,3,0.507933321595192,0.0005773522995424201,0.5083999858299891,0.0007211095673895776
cifar-10,hybrid-v2,36000,3,0.5092666538556417,0.0018903269282160749,0.5077333201964697,0.001747380540974028
cifar-10,hybrid-v2,38000,3,0.5092666514714559,0.004365012119993522,0.5105333207050959,0.003716630478470713
cifar-10,hybrid-v2,40000,3,0.5089999870459239,0.0025059921160527745,0.5091333190600077,0.003534592012848243
cifar-10,hybrid-v2,42000,3,0.507399987578392,0.002778489194326335,0.5096666518847147,0.002928025992615868
cifar-10,hybrid-v2,44000,3,0.5087999874353409,0.0016370695756916702,0.5099333206812541,0.0032331604642637794
cifar-10,hybrid-v2,46000,3,0.5097333202759424,0.00030550722627531495,0.51079998532931,0.0029461824576239404
cifar-10,hybrid-v2,48000,3,0.5085999864339829,0.0013856382922224748,0.508933321038882,0.004041452405435008
cifar-10,hybrid-v2,50000,3,0.5097999860843022,0.0020784612237375734,0.5101999864975612,0.0020000010728840906
cifar-10,hybrid-v2,52000,3,0.5088666540384292,0.003202084050688663,0.5108666541179021,0.002579405135950991
cifar-10,hybrid-v2,54000,3,0.5095999872684479,0.0015874508497183929,0.5099333204825719,0.0006429089122464136
cifar-10,hybrid-v2,56000,3,0.5088666520516077,0.001665333263429898,0.5097333200772604,0.0009237619586300305
cifar-10,hybrid-v2,58000,3,0.5096666530768077,0.0015534904520784591,0.510399985909462,0.00040000170469317586
cifar-10,hybrid-v2,60000,3,0.5075333195924759,0.0024193689774961915,0.5101999859015147,0.001216548994119074
cifar-10,hybrid-v2,62000,3,0.5080666522185008,0.0034486693930719492,0.5104666543006897,0.000945161277932509
cifar-10,hybrid-v2,64000,3,0.5083333194255829,0.0020033298397616867,0.5105333189169565,0.0013613724268722453
cifar-10,hybrid-v2,66000,3,0.5095333196719487,0.0022300956814049577,0.5100666532913845,0.0010263217676684754
cifar-10,hybrid-v2,68000,3,0.5079333213965098,0.0016289057904067326,0.5110666539271672,0.0018147561835906345
cifar-10,hybrid-v2,70000,3,0.5097999868790309,0.0021166007199364904,0.51059998691082,0.0008717797093998612
cifar-10,hybrid-v2,72000,3,0.5101999853054683,0.003304543379579143,0.5110666533311208,0.0010263214385705989
cifar-10,hybrid-v2,74000,3,0.5083333202203115,0.003312601727537087,0.5116666527589162,0.0015275254007425464
cifar-10,hybrid-v2,76000,3,0.5093999870618184,0.003019934288851215,0.5109333185354868,0.0016289080591016258
cifar-10,hybrid-v2,78000,3,0.5099999868869782,0.002690726806629466,0.5114666525522867,0.001890328714995817
cifar-10,hybrid-v2,80000,3,0.5085333206256231,0.0010066443024189119,0.5111999869346618,0.003019932670412283
cifar-10,hybrid-v2,82000,3,0.5110666519403457,0.002893671544153379,0.5115333191553751,0.00300887708258545
cifar-10,hybrid-v2,84000,3,0.5092666512727737,0.0036018535837867003,0.512066653172175,0.004196825155083952
cifar-10,hybrid-v2,86000,3,0.5091333210468292,0.004119871263213711,0.5119999861717224,0.0048867168223425865
cifar-10,hybrid-v2,88000,3,0.5102666531006494,0.004601451178750098,0.5116666543483734,0.004842865295503227
cifar-10,hybrid-v2,90000,3,0.5107999881108602,0.004651882156803442,0.5124666537841162,0.004365014414048448
cifar-10,hybrid-v2,92000,3,0.5098666538794836,0.004119872820892395,0.5122666527827581,0.0053528850780035254
cifar-10,hybrid-v2,94000,3,0.5094666546583175,0.0044959258377890235,0.5110666503508886,0.003971568188046896
cifar-10,hybrid-v2,96000,3,0.5105333205064138,0.003780654087662455,0.5112666523456574,0.004605795065482654
cifar-10,hybrid-v2,98000,3,0.5092666526635488,0.004006662813482476,0.5109333189328511,0.004392418464370212
cifar-10,hybrid-v2,100000,3,0.5085333182414372,0.005601192066778932,0.5119333185752233,0.005326664009443968
cifar-10,hybrid-v2,102000,3,0.5085333190361658,0.005804596769257992,0.5109333195288976,0.004738497807984678
cifar-10,hybrid-v2,104000,3,0.5097999876737594,0.007631514112446386,0.5109999853372574,0.005257376788877577
cifar-10,hybrid-v2,106000,3,0.5089999870459239,0.0051029422019465654,0.5109333197275797,0.004957152357854747
cifar-10,hybrid-v2,108000,3,0.5098666524887085,0.0050013343210002364,0.5108666529258092,0.0056897579540200385
