phase,group,complete,expected,incomplete,pending,best_hard_validation_mean_pct,best_hard_validation_std_pct,wall_minutes_mean,peak_gpu_gib_max
second_round_c100_strength,second_c100_3x128k_coverage_v3,2,2,0,0,21.969999358057976,0.1272792045977761,5.3314179539486455,0.889528751373291
second_round_c100_strength,second_c100_3x128k_random,2,2,0,0,21.099999383091927,0.14142128458766703,5.357953571958933,0.889528751373291
second_round_c100_strength,second_c100_baseline_screen_tau10_lr0.01_augstandard,1,1,0,0,18.279999554157257,,1.3751056930981576,0.889528751373291
second_round_c100_strength,second_c100_baseline_screen_tau10_lr0.02_augnone,1,1,0,0,19.939999416470528,,1.3725404170147764,0.889528751373291
second_round_c100_strength,second_c100_baseline_screen_tau10_lr0.02_augstandard,1,1,0,0,18.179999455809593,,1.374442387302406,0.889528751373291
second_round_c100_strength,second_c100_baseline_screen_tau1_lr0.01_augnone,1,1,0,0,11.019999705255032,,1.345750112098176,0.889528751373291
second_round_c100_strength,second_c100_baseline_screen_tau20_lr0.01_augnone,1,1,0,0,22.6999993622303,,1.3711401060184774,0.889528751373291
second_round_c100_strength,second_c100_baseline_screen_tau5_lr0.01_augnone,1,1,0,0,17.179999515414238,,1.3712921464350074,0.889528751373291
second_round_c100_strength,second_c100_class_scaled_64_64_256k_coverage_v3,1,1,0,0,20.239999413490295,,5.949141849515339,1.0598855018615723
second_round_c100_strength,second_c100_class_scaled_64_64_256k_random,1,1,0,0,20.379999428987503,,5.971859625831712,1.0598855018615723
second_round_c100_strength,second_c100_class_scaled_96_96_192k_coverage_v3,1,1,0,0,20.619999527931213,,5.5212071447167546,0.9660840034484863
second_round_c100_strength,second_c100_class_scaled_96_96_192k_random,1,1,0,0,19.959999442100525,,5.535959395133735,0.9660840034484863
second_round_compression,second_compression_fashion_16k_coverage_v3,3,3,0,0,86.8833311729961,0.19220936985913648,14.95598572587672,0.03399372100830078
second_round_compression,second_compression_fashion_16k_random,3,3,0,0,86.1944423781501,0.25018496629173137,15.08869646908974,0.03399372100830078
second_round_compression,second_compression_fashion_32k_coverage_v3,3,3,0,0,87.77777595652474,0.32674014762061737,15.078617053138766,0.06635475158691406
second_round_compression,second_compression_fashion_32k_random,3,3,0,0,87.46110906203587,0.23412562782607224,15.060208378404948,0.06635475158691406
second_round_compression,second_compression_fashion_64k_coverage_v3,3,3,0,0,88.0999979045656,0.1999998589357278,14.891968293284945,0.1324019432067871
second_round_compression,second_compression_fashion_64k_random,3,3,0,0,87.33333137300279,0.5567765743815456,15.091842603810235,0.1324019432067871
second_round_compression,second_compression_fashion_8k_coverage_v3,3,3,0,0,83.64444245894751,0.15840655747367138,15.104101549183381,0.01682138442993164
second_round_compression,second_compression_fashion_8k_random,3,3,0,0,83.43333118491702,0.14813651058511157,15.094601489794957,0.01682138442993164
second_round_compression,second_compression_mnist_16k_coverage_v3,3,3,0,0,95.47777583201727,0.44388828202491654,15.011681757360282,0.03399372100830078
second_round_compression,second_compression_mnist_16k_random,3,3,0,0,95.09999814960692,0.16072732334735612,15.058989318784896,0.03399372100830078
second_round_compression,second_compression_mnist_32k_coverage_v3,3,3,0,0,97.01110823286903,0.12945737887148118,14.974792676439716,0.06635475158691406
second_round_compression,second_compression_mnist_32k_random,3,3,0,0,96.69444186819923,0.1347149056594002,15.092612005034203,0.06635475158691406
second_round_compression,second_compression_mnist_4k_coverage_v3,3,3,0,0,86.06666482157178,0.15898976734714704,14.92255987776314,0.008560657501220703
second_round_compression,second_compression_mnist_4k_random,3,3,0,0,85.53888685173459,0.49450699075615034,14.781636606681989,0.008560657501220703
second_round_compression,second_compression_mnist_8k_coverage_v3,3,3,0,0,91.95555372370613,0.11344767548310977,15.085542224673555,0.01682138442993164
second_round_compression,second_compression_mnist_8k_random,3,3,0,0,91.46110915475421,0.2859358219453039,15.064778039983421,0.01682138442993164
second_round_conv_s_full,second_full_conv_cifar10_s_legacy_v4,1,1,0,0,59.86,,297.42569987094805,1.8306818008422852
second_round_conv_s_full,second_full_conv_cifar10_s_random,1,1,0,0,58.68,,298.5065765895687,1.8306565284729004
second_round_conv_s_full,second_full_conv_cifar10_s_unified_u1,1,1,0,0,59.88,,298.7920028736815,1.8306818008422852
second_round_exact_comparators,second_exact_fashion_bitlogic_6x8k,3,3,0,0,10.86666668256124,0.0,112.7359612910491,3.5269951820373535
second_round_exact_comparators,second_exact_fashion_lilogic_6x8k,3,3,0,0,84.26666675143771,1.6356276182118836,92.05343832188906,3.7061285972595215
second_round_exact_comparators,second_exact_fashion_mommen_6x8k,3,3,0,0,87.39999797609117,0.9278111245694463,29.088586374627063,0.45295143127441406
second_round_exact_comparators,second_exact_mnist_bitlogic_6x8k,3,3,0,0,11.41666667262713,0.0,112.75042052128249,3.5269951820373535
second_round_exact_comparators,second_exact_mnist_lilogic_6x8k,3,3,0,0,95.71666673024495,0.3511884448506068,92.43736682385077,3.7061285972595215
second_round_exact_comparators,second_exact_mnist_mommen_6x8k,3,3,0,0,95.68333119153976,0.4041449382028489,51.90310059858279,0.8093338012695312
second_round_u2_post_balance_smoke,smoke_second_u2_conv_cifar10_s_seed0_post_balance,1,1,0,0,11.42,,0.10244709213341897,1.8306818008422852
second_round_u2_post_balance_smoke,smoke_second_u2_mnist_8k_seed0_post_balance,1,1,0,0,21.499999339381855,,0.025608175667002797,0.01682138442993164
second_round_unified_u2_final,second_final_u2_cifar10_s,3,3,0,0,52.833332200845085,0.29955522537151946,12.114587865361116,0.10611200332641602
second_round_unified_u2_final,second_final_u2_conv_cifar10_s,1,1,0,0,61.0,,297.0405465803148,1.8306818008422852
