name,family,best_validation_hard_accuracy,wall_seconds,peak_gpu_memory_bytes,dense_gate_count,trainable_parameters,training_routing_parameters,deployed_routing_bits,architecture,parametrization,config
screen_table1_fashion_bitlogic_48k_seed0,bitlogic,0.8790000006357829,322.16045833799944,3819600384,48000,3840000,3072000,2592000,DlgnFashionMnistBitLogic48k,light,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_bitlogic_48k_seed0.json
screen_table1_fashion_v3_swap0125_48k_seed0,coverage_v3,0.8723333110411962,44.514050646001124,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_swap0125_48k_seed0.json
screen_table1_fashion_v3_swap0500_48k_seed0,coverage_v3,0.8718333125114441,44.99312506699789,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_swap0500_48k_seed0.json
screen_table1_fashion_v3_incumbent_48k_seed0,coverage_v3,0.8696666479110717,44.960589586000424,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_incumbent_48k_seed0.json
screen_table1_fashion_v3_novelty050_48k_seed0,coverage_v3,0.8694999784231185,44.79740297800163,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_novelty050_48k_seed0.json
screen_table1_fashion_v3_pool16_48k_seed0,coverage_v3,0.8688333123922348,44.75679689000026,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_pool16_48k_seed0.json
screen_table1_fashion_v3_novelty200_48k_seed0,coverage_v3,0.8661666442950566,44.784991587999684,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_novelty200_48k_seed0.json
screen_table1_fashion_v3_pool32_48k_seed0,coverage_v3,0.8659999797741572,44.52409686199826,106689536,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_pool32_48k_seed0.json
screen_table1_fashion_v3_warp_48k_seed0,coverage_v3,0.8578333139419556,26.080102628999157,116156416,48000,192000,0,1232000,DlgnFashionMnistPaperSmall,warp,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_warp_48k_seed0.json
screen_table1_fashion_v3_light_48k_seed0,coverage_v3,0.8549999803304672,27.42267667500346,190524416,48000,192000,0,1232000,DlgnFashionMnistPaperSmall,light,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_v3_light_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth2_tau30_48k_seed0,lilogic,0.8921666679382324,509.6297287710004,5020596736,48000,3840000,3072000,1296000,DlgnFashionMnistLearnable48kDepth2,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth2_tau30_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth3_tau15_48k_seed0,lilogic,0.8921666673024495,586.8819124889997,4496793088,48000,3840000,3072000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth3_tau15_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth3_tau20_48k_seed0,lilogic,0.8908333339691162,592.6405667420004,4496793088,48000,3840000,3072000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth3_tau20_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth3_tau25_48k_seed0,lilogic,0.8908333339691162,585.8801485080003,4496793088,48000,3840000,3072000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth3_tau25_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth3_tau30_48k_seed0,lilogic,0.8898333339691162,592.0508528549981,4496793088,48000,3840000,3072000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth3_tau30_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth2_tau25_48k_seed0,lilogic,0.8888333339691162,504.57138130599924,5020596736,48000,3840000,3072000,1296000,DlgnFashionMnistLearnable48kDepth2,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth2_tau25_48k_seed0.json
screen_table1_fashion_lilogic_top32_depth2_tau20_48k_seed0,lilogic,0.887833334128062,509.97004794999884,5020596736,48000,3840000,3072000,1296000,DlgnFashionMnistLearnable48kDepth2,raw,experiments/coverage_dlgn/configs/table1_screen_fashion/screen_table1_fashion_lilogic_top32_depth2_tau20_48k_seed0.json
