candidate,family,dense_gate_count,trainable_parameters,training_routing_parameters,deployed_routing_bits,architecture,parametrization,seed_count,mean_best_validation_hard_accuracy,std_best_validation_hard_accuracy,mean_final_validation_hard_accuracy,std_final_validation_hard_accuracy,mean_final_validation_relaxed_accuracy,mean_wall_seconds,max_peak_gpu_memory_bytes
table1_fashion_bitlogic_48k,bitlogic,48000,3840000,3072000,2592000,DlgnFashionMnistBitLogic48k,light,3,0.8995555565092299,0.0030245908468067803,0.8985000009006924,0.002254625040905928,0.9031111121177673,1274.3134897123334,3819600384
table1_fashion_v3_swap0500_48k,coverage_v3,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,3,0.8791110899713305,0.004595693355484696,0.8766666478580899,0.007005948641868682,0.8837777588102552,170.88473254766723,106689536
table1_fashion_v3_incumbent_48k,coverage_v3,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,3,0.8784444236093097,0.0014369459213169143,0.8775555358992683,0.0009179300142267226,0.883722201651997,171.6037392006668,106689536
table1_fashion_v3_swap0125_48k,coverage_v3,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,3,0.8759444259934955,0.0017821134552855546,0.8748888691266378,0.0007876351865606248,0.8824444250928031,171.0278732003329,106689536
table1_fashion_lilogic_top32_depth2_tau30_48k,lilogic,48000,3840000,3072000,1296000,DlgnFashionMnistLearnable48kDepth2,raw,3,0.8959444452921549,0.0003469441932601479,0.8948333340220981,0.0015898985857180294,0.894611111799876,2013.1570741599996,5020596736
table1_fashion_lilogic_top32_depth3_tau20_48k,lilogic,48000,3840000,3072000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,3,0.8908888897365994,0.002869055725738952,0.8877777782546149,0.0017821126216114847,0.8881666671435038,2340.3349487763335,4496793088
table1_fashion_lilogic_top32_depth3_tau15_48k,lilogic,48000,3840000,3072000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,3,0.8894444451861911,0.003671713736670024,0.8871666675143772,0.003253203471964977,0.8876111119588216,2333.0319228773333,4496793088
table1_fashion_mommen_nc8_depth3_48k,mommen,48000,1536000,768000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,3,0.8810555342170927,0.001493812520210907,0.8803333113590877,0.0014239978709479116,0.8803333113590877,271.77955006299936,535149568
table1_fashion_mommen_nc16_depth3_48k,mommen,48000,2304000,1536000,1280000,DlgnFashionMnistLearnable48kDepth3,raw,3,0.8802777565187878,0.0019317071092756263,0.8794444226556354,0.0013877789523414055,0.8794444226556354,483.4325487576668,972002816
table1_fashion_mommen_nc16_depth2_48k,mommen,48000,2304000,1536000,1296000,DlgnFashionMnistLearnable48kDepth2,raw,3,0.8798888683319092,0.0013471499578799318,0.8786666446261936,0.0024209749689229026,0.8786666446261936,406.15102387500036,1076387328
table1_fashion_random_48k,random,48000,768000,0,1232000,DlgnFashionMnistPaperSmall,raw,3,0.8692777577373716,0.0027148417032982148,0.8659444222847621,0.0050835640975216015,0.8736110919051701,170.7884461566658,106689536
