candidate,family,dense_gate_count,trainable_parameters,training_routing_parameters,deployed_routing_bits,architecture,parametrization,seed_count,mean_best_validation_hard_accuracy,std_best_validation_hard_accuracy,mean_final_validation_hard_accuracy,std_final_validation_hard_accuracy,mean_final_validation_relaxed_accuracy,mean_wall_seconds,max_peak_gpu_memory_bytes
table1_mnist_bitlogic_48k,bitlogic,48000,3840000,3072000,2592000,DlgnMnistBitLogic48k,light,3,0.98083333407508,0.0006009248599084524,0.9803888892067804,0.0009179284245476935,0.9806111114290025,1278.2706255669993,3819600384
table1_mnist_v3_incumbent_48k,coverage_v3,48000,768000,0,1200000,DlgnMnistPaperSmall,raw,3,0.972333303756184,0.001013793604803473,0.9721666375796,0.0009279615371756822,0.9732221911350886,170.90963917000013,106689536
table1_mnist_v3_pool16_48k,coverage_v3,48000,768000,0,1200000,DlgnMnistPaperSmall,raw,3,0.9723333034250471,0.0008333330353101847,0.9721110817458894,0.0009179278798248126,0.9741666363345252,171.18539438233347,106689536
table1_mnist_v3_novelty050_48k,coverage_v3,48000,768000,0,1200000,DlgnMnistPaperSmall,raw,3,0.9715555247333315,0.0006735732378183991,0.9699444141652849,0.002335313882211372,0.9719444139136209,170.48888154033315,106689536
table1_mnist_lilogic_top32_depth3_tau15_48k,lilogic,48000,3840000,3072000,1216000,DlgnMnistLearnable48kDepth3,raw,3,0.9795555561383565,0.001417483427800695,0.9792222228050232,0.0009765775507015076,0.9793888894716899,2329.2115533193332,4495842816
table1_mnist_lilogic_top32_depth3_tau10_48k,lilogic,48000,3840000,3072000,1216000,DlgnMnistLearnable48kDepth3,raw,3,0.9792777788903978,0.0006938885901336808,0.9787777787314521,0.0010046192127305805,0.9784444453451369,2337.0567631689996,4495842816
table1_mnist_lilogic_top32_depth2_tau10_48k,lilogic,48000,3840000,3072000,1200000,DlgnMnistLearnable48kDepth2,raw,3,0.9792222230169508,0.0012619800732233642,0.979000000582801,0.0008819171938019588,0.9791111116939121,2003.7347528733328,5021927936
table1_mnist_mommen_nc16_depth2_48k,mommen,48000,2304000,1536000,1200000,DlgnMnistLearnable48kDepth2,raw,3,0.97755552497175,0.0013368008446993057,0.9770555237929026,0.0012729371294155395,0.9770555237929026,406.25023182266676,1076387328
table1_mnist_mommen_nc8_depth3_48k,mommen,48000,1536000,768000,1216000,DlgnMnistLearnable48kDepth3,raw,3,0.9766110804345872,0.0007515398806542376,0.9762221912542979,0.0013877760094898528,0.9762221912542979,272.33628506400026,535149568
table1_mnist_mommen_nc16_depth3_48k,mommen,48000,2304000,1536000,1216000,DlgnMnistLearnable48kDepth3,raw,3,0.9760555230908924,0.0011097201207035316,0.9756110790703032,0.0007515410556181155,0.9756110790703032,481.3053384336666,972002816
table1_mnist_random_48k,random,48000,768000,0,1200000,DlgnMnistPaperSmall,raw,3,0.9689444174369176,0.00041943682010637764,0.9681666397386127,0.001092907878086582,0.9692777501212226,170.98952960299994,106689536
