name,cell,gate_count,family,candidate,best_validation_hard_accuracy,wall_seconds,peak_gpu_memory_bytes,dense_gate_count,trainable_parameters,training_routing_parameters,architecture,parametrization,config
screen_table2_cifar10_128k_v3_pool4_seed0,128k,128000,coverage_v3,pool4,0.5429999887943268,37.109432145007304,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_pool4_seed0.json
screen_table2_cifar10_128k_v3_swap0500_seed0,128k,128000,coverage_v3,swap0500,0.5321999883651733,37.01568910300557,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_swap0500_seed0.json
screen_table2_cifar10_128k_v3_incumbent_seed0,128k,128000,coverage_v3,incumbent,0.5297999882698059,37.157766831995104,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_incumbent_seed0.json
screen_table2_cifar10_128k_v3_novelty050_seed0,128k,128000,coverage_v3,novelty050,0.5297999882698059,37.097124574997,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_novelty050_seed0.json
screen_table2_cifar10_128k_v3_novelty200_seed0,128k,128000,coverage_v3,novelty200,0.5297999882698059,36.94057681701088,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_novelty200_seed0.json
screen_table2_cifar10_128k_v3_pool16_seed0,128k,128000,coverage_v3,pool16,0.5285999876260757,37.97531186499691,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_pool16_seed0.json
screen_table2_cifar10_128k_v3_swap0125_seed0,128k,128000,coverage_v3,swap0125,0.5271999871730805,37.66752598399762,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_swap0125_seed0.json
screen_table2_cifar10_128k_v3_warp_seed0,128k,128000,coverage_v3,warp,0.5201999866962432,28.356738564005354,332122624,128000,512000,0,DlgnCifar10Budget128k,warp,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_warp_seed0.json
screen_table2_cifar10_128k_random_seed0,128k,128000,random,random,0.4977999866008759,37.08991567400517,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_random_seed0.json
screen_table2_cifar10_128k_v3_light_seed0,128k,128000,coverage_v3,light,0.44479998767375944,29.61332594099804,500570624,128000,512000,0,DlgnCifar10Budget128k,light,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_128k_v3_light_seed0.json
screen_table2_cifar10_256k_v3_incumbent_seed0,256k,256000,coverage_v3,incumbent,0.5593999880552292,56.522150752003654,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_256k_v3_incumbent_seed0.json
screen_table2_cifar10_256k_v3_novelty050_seed0,256k,256000,coverage_v3,novelty050,0.5593999880552292,56.34404643200105,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_256k_v3_novelty050_seed0.json
screen_table2_cifar10_256k_v3_novelty200_seed0,256k,256000,coverage_v3,novelty200,0.5593999880552292,56.70556852099253,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_256k_v3_novelty200_seed0.json
screen_table2_cifar10_256k_v3_pool16_seed0,256k,256000,coverage_v3,pool16,0.5591999852657318,55.65235435598879,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw,experiments/coverage_dlgn/configs/table2_screen_cifar10_compression/screen_table2_cifar10_256k_v3_pool16_seed0.json
