cell,family,candidate,seed_count,mean_best_validation_hard_accuracy,std_best_validation_hard_accuracy,mean_final_validation_hard_accuracy,mean_wall_seconds,max_peak_gpu_memory_bytes,dense_gate_count,trainable_parameters,training_routing_parameters,architecture,parametrization
128k,coverage_v3,v3_swap0500,3,0.5485333188374837,0.0023352372949362542,0.5446666536728542,138.61953230233726,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw
128k,coverage_v3,v3_incumbent,3,0.5478666571776072,0.0037166275383017193,0.5441333216428756,139.10866379500172,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw
128k,coverage_v3,v3_pool4,3,0.5459999857346217,0.004103653965344005,0.5432666552066803,138.99501667432682,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw
128k,random,random,3,0.49999998827775316,0.003903842933298796,0.4990666544437408,138.92347683866683,302201344,128000,2048000,0,DlgnCifar10Budget128k,raw
256k,coverage_v3,v3_incumbent,3,0.5751333214839299,0.006087145761631112,0.5720666531721751,212.91149686033896,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw
256k,coverage_v3,v3_novelty050,3,0.5751333214839299,0.006087145761631112,0.5720666531721751,213.43175123366623,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw
256k,coverage_v3,v3_novelty200,3,0.5751333214839299,0.006087145761631112,0.5720666531721751,212.84724809933687,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw
256k,random,random,3,0.5256666547060013,0.0003055063157941141,0.5217333215475083,214.22298286567093,603302400,256000,4096000,0,DlgnCifar10Budget256k,raw
384k,coverage_v3,v3_incumbent,3,0.5897999838987986,0.004853866491028196,0.5873333213726679,331.71593761100183,906836480,384000,6144000,0,DlgnCifar10Budget384k,raw
384k,coverage_v3,v3_novelty050,3,0.5897999838987986,0.004853866491028196,0.5873333213726679,330.8113050206642,906836480,384000,6144000,0,DlgnCifar10Budget384k,raw
384k,coverage_v3,v3_warp,3,0.5743333224455516,0.005460159400876839,0.5625333189964294,317.9531473086681,999311872,384000,1536000,0,DlgnCifar10Budget384k,warp
384k,random,random,3,0.5439999890327454,0.002424869334251951,0.543666655421257,333.9603834240018,906836480,384000,6144000,0,DlgnCifar10Budget384k,raw
