best_test_hard_pct,best_validation_hard_pct,coordinate,deployed_routing_bits,family,final_test_hard_pct,final_validation_hard_pct,gate_count,inference_ms_per_batch128,inference_peak_gpu_gib,phase,provenance,rank,reported_reference,seeds,topology_construction_seconds,trainable_parameters,training_peak_gpu_gib,training_routing_parameters,training_wall_minutes,truth_table_bits
"{""ci95_high"": 15.32002000000001, ""ci95_low"": 10.99997999999999, ""mean"": 13.16, ""n"": 2, ""sample_sd"": 0.2404163056034273}","{""ci95_high"": 15.57826000000001, ""ci95_low"": 10.24173999999999, ""mean"": 12.91, ""n"": 2, ""sample_sd"": 0.2969848480983512}",l,7680000,best,"{""ci95_high"": 12.50149, ""ci95_low"": 8.308510000000002, ""mean"": 10.405000000000001, ""n"": 2, ""sample_sd"": 0.23334523779156074}","{""ci95_high"": 11.276480000000001, ""ci95_low"": 9.243519999999998, ""mean"": 10.26, ""n"": 2, ""sample_sd"": 0.1131370849898477}",128000,"{""ci95_high"": 16.437869486083997, ""ci95_low"": 15.505532613525379, ""mean"": 15.971701049804688, ""n"": 2, ""sample_sd"": 0.05188585903797074}","{""ci95_high"": 2.215733528137207, ""ci95_low"": 2.215733528137207, ""mean"": 2.215733528137207, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,reproduced-local,4,"{""accuracy_pct"": 58.06, ""label"": ""BitLogic rank-4 L"", ""provenance"": ""reported"", ""spread_pct"": 0.14}","[0, 1]","{""ci95_high"": 0.0, ""ci95_low"": 0.0, ""mean"": 0.0, ""n"": 2, ""sample_sd"": 0.0}",10240000,"{""ci95_high"": 9.456057071685791, ""ci95_low"": 9.456057071685791, ""mean"": 9.456057071685791, ""n"": 2, ""sample_sd"": 0.0}",8192000,"{""ci95_high"": 490.85814720018567, ""ci95_low"": -161.9172964345667, ""mean"": 164.47042538280948, ""n"": 2, ""sample_sd"": 36.32787209083822}",2048000
"{""ci95_high"": 26.55765999999999, ""ci95_low"": 23.76234000000001, ""mean"": 25.16, ""n"": 2, ""sample_sd"": 0.15556349186103965}","{""ci95_high"": 26.367660000000015, ""ci95_low"": 23.572339999999983, ""mean"": 24.97, ""n"": 2, ""sample_sd"": 0.15556349186104215}",l,3840000,random,"{""ci95_high"": 33.388339999999985, ""ci95_low"": 10.771660000000015, ""mean"": 22.08, ""n"": 2, ""sample_sd"": 1.258650070512053}","{""ci95_high"": 30.73419999999999, ""ci95_low"": 12.945800000000009, ""mean"": 21.84, ""n"": 2, ""sample_sd"": 0.9899494936611656}",128000,"{""ci95_high"": 2.558356432800294, ""ci95_low"": 0.9972377444457995, ""mean"": 1.7777970886230468, ""n"": 2, ""sample_sd"": 0.08687845197328126}","{""ci95_high"": 0.20180559158325195, ""ci95_low"": 0.20180559158325195, ""mean"": 0.20180559158325195, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,reproduced-local,2,,"[0, 1]","{""ci95_high"": 0.5525419616829603, ""ci95_low"": 0.3384002053420991, ""mean"": 0.44547108351252973, ""n"": 2, ""sample_sd"": 0.011917290102614544}",2048000,"{""ci95_high"": 0.41427087783813477, ""ci95_low"": 0.41427087783813477, ""mean"": 0.41427087783813477, ""n"": 2, ""sample_sd"": 0.0}",0,"{""ci95_high"": 8.61089277627953, ""ci95_low"": 8.429413529287585, ""mean"": 8.520153152783557, ""n"": 2, ""sample_sd"": 0.010099575491313727}",512000
"{""ci95_high"": 51.72318000000001, ""ci95_low"": 0.13681999999998595, ""mean"": 25.93, ""n"": 2, ""sample_sd"": 2.8708535316173847}","{""ci95_high"": 44.66487999999998, ""ci95_low"": 7.05512000000002, ""mean"": 25.86, ""n"": 2, ""sample_sd"": 2.0930360723121786}",l,3840000,u2,"{""ci95_high"": 30.615360000000027, ""ci95_low"": 16.384639999999973, ""mean"": 23.5, ""n"": 2, ""sample_sd"": 0.7919595949289364}","{""ci95_high"": 36.78248000000001, ""ci95_low"": 9.337520000000001, ""mean"": 23.060000000000002, ""n"": 2, ""sample_sd"": 1.5273506473629428}",128000,"{""ci95_high"": 1.8216320822143546, ""ci95_low"": 1.636986387023927, ""mean"": 1.7293092346191408, ""n"": 2, ""sample_sd"": 0.01027579278971004}","{""ci95_high"": 0.20180559158325195, ""ci95_low"": 0.20180559158325195, ""mean"": 0.20180559158325195, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,our-transfer,2,,"[0, 1]","{""ci95_high"": 3.3354452487269883, ""ci95_low"": 3.0731923673579002, ""mean"": 3.2043188080424443, ""n"": 2, ""sample_sd"": 0.0145947419173456}",2048000,"{""ci95_high"": 0.41427087783813477, ""ci95_low"": 0.41427087783813477, ""mean"": 0.41427087783813477, ""n"": 2, ""sample_sd"": 0.0}",0,"{""ci95_high"": 8.816100129930009, ""ci95_low"": 8.305689127701937, ""mean"": 8.560894628815973, ""n"": 2, ""sample_sd"": 0.028405090576711117}",512000
"{""ci95_high"": 17.323829999999997, ""ci95_low"": 15.926170000000004, ""mean"": 16.625, ""n"": 2, ""sample_sd"": 0.07778174593051983}","{""ci95_high"": 16.491180000000014, ""ci95_low"": 15.728819999999985, ""mean"": 16.11, ""n"": 2, ""sample_sd"": 0.04242640687119446}",m,1792000,best,"{""ci95_high"": 18.003560000000007, ""ci95_low"": 11.396439999999991, ""mean"": 14.7, ""n"": 2, ""sample_sd"": 0.3676955262170057}","{""ci95_high"": 19.958879999999994, ""ci95_low"": 7.761120000000006, ""mean"": 13.86, ""n"": 2, ""sample_sd"": 0.678822509939085}",32000,"{""ci95_high"": 7.38707942504883, ""ci95_low"": 5.426505780029295, ""mean"": 6.4067926025390625, ""n"": 2, ""sample_sd"": 0.10910868246568084}","{""ci95_high"": 0.5557956695556641, ""ci95_low"": 0.5557956695556641, ""mean"": 0.5557956695556641, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,reproduced-local,4,"{""accuracy_pct"": 49.22, ""label"": ""BitLogic rank-4 M"", ""provenance"": ""reported"", ""spread_pct"": 0.26}","[0, 1]","{""ci95_high"": 0.0, ""ci95_low"": 0.0, ""mean"": 0.0, ""n"": 2, ""sample_sd"": 0.0}",2560000,"{""ci95_high"": 2.3724541664123535, ""ci95_low"": 2.3724541664123535, ""mean"": 2.3724541664123535, ""n"": 2, ""sample_sd"": 0.0}",2048000,"{""ci95_high"": 41.252286425795816, ""ci95_low"": 41.15886537765593, ""mean"": 41.20557590172587, ""n"": 2, ""sample_sd"": 0.00519901280066652}",512000
"{""ci95_high"": 33.75918999999998, ""ci95_low"": 18.13081000000002, ""mean"": 25.945, ""n"": 2, ""sample_sd"": 0.8697413408594512}","{""ci95_high"": 35.161859999999955, ""ci95_low"": 14.578140000000039, ""mean"": 24.869999999999997, ""n"": 2, ""sample_sd"": 1.1455129855222026}",m,896000,random,"{""ci95_high"": 31.154199999999992, ""ci95_low"": 13.36580000000001, ""mean"": 22.26, ""n"": 2, ""sample_sd"": 0.9899494936611656}","{""ci95_high"": 33.369519999999994, ""ci95_low"": 9.990480000000003, ""mean"": 21.68, ""n"": 2, ""sample_sd"": 1.3010764773832473}",32000,"{""ci95_high"": 0.9369824199676513, ""ci95_low"": 0.5452758045196533, ""mean"": 0.7411291122436523, ""n"": 2, ""sample_sd"": 0.021799024399410567}","{""ci95_high"": 0.05118417739868164, ""ci95_low"": 0.05118417739868164, ""mean"": 0.05118417739868164, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,reproduced-local,2,,"[0, 1]","{""ci95_high"": 0.10825314135872759, ""ci95_low"": -0.030065886402735484, ""mean"": 0.03909362747799605, ""n"": 2, ""sample_sd"": 0.007697648551649682}",512000,"{""ci95_high"": 0.1036381721496582, ""ci95_low"": 0.1036381721496582, ""mean"": 0.1036381721496582, ""n"": 2, ""sample_sd"": 0.0}",0,"{""ci95_high"": 8.687437213275853, ""ci95_low"": 8.476771133523474, ""mean"": 8.582104173399664, ""n"": 2, ""sample_sd"": 0.011723863809136939}",128000
"{""ci95_high"": 26.16706000000002, ""ci95_low"": 25.912939999999978, ""mean"": 26.04, ""n"": 2, ""sample_sd"": 0.01414213562373316}","{""ci95_high"": 28.549440000000025, ""ci95_low"": 22.450559999999975, ""mean"": 25.5, ""n"": 2, ""sample_sd"": 0.3394112549695456}",m,896000,u2,"{""ci95_high"": 35.41744999999999, ""ci95_low"": 14.452550000000008, ""mean"": 24.935, ""n"": 2, ""sample_sd"": 1.1667261889578024}","{""ci95_high"": 36.397760000000005, ""ci95_low"": 12.00223999999999, ""mean"": 24.2, ""n"": 2, ""sample_sd"": 1.3576450198781724}",32000,"{""ci95_high"": 0.9014850934600829, ""ci95_low"": 0.5751987902069091, ""mean"": 0.738341941833496, ""n"": 2, ""sample_sd"": 0.018158291959594636}","{""ci95_high"": 0.05118417739868164, ""ci95_low"": 0.05118417739868164, ""mean"": 0.05118417739868164, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,our-transfer,2,,"[0, 1]","{""ci95_high"": 0.852689529167721, ""ci95_low"": 0.561332106958842, ""mean"": 0.7070108180632815, ""n"": 2, ""sample_sd"": 0.016214450573975324}",512000,"{""ci95_high"": 0.1036381721496582, ""ci95_low"": 0.1036381721496582, ""mean"": 0.1036381721496582, ""n"": 2, ""sample_sd"": 0.0}",0,"{""ci95_high"": 9.927228578322817, ""ci95_low"": 7.360467863075963, ""mean"": 8.64384822069939, ""n"": 2, ""sample_sd"": 0.14284384601245745}",128000
"{""ci95_high"": 28.51647999999998, ""ci95_low"": 26.48352000000002, ""mean"": 27.5, ""n"": 2, ""sample_sd"": 0.11313708498984519}","{""ci95_high"": 34.70948, ""ci95_low"": 19.970520000000004, ""mean"": 27.340000000000003, ""n"": 2, ""sample_sd"": 0.8202438661763952}",s,416000,best,"{""ci95_high"": 32.108919999999976, ""ci95_low"": 11.271080000000019, ""mean"": 21.689999999999998, ""n"": 2, ""sample_sd"": 1.1596551211459358}","{""ci95_high"": 27.13887999999998, ""ci95_low"": 14.941120000000017, ""mean"": 21.04, ""n"": 2, ""sample_sd"": 0.6788225099390837}",8000,"{""ci95_high"": 4.926767376556396, ""ci95_low"": -0.31578181137084904, ""mean"": 2.3054927825927733, ""n"": 2, ""sample_sd"": 0.29175524016113513}","{""ci95_high"": 0.14565610885620117, ""ci95_low"": 0.14565610885620117, ""mean"": 0.14565610885620117, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,reproduced-local,4,"{""accuracy_pct"": 38.93, ""label"": ""BitLogic rank-4 S"", ""provenance"": ""reported"", ""spread_pct"": 0.19}","[0, 1]","{""ci95_high"": 0.0, ""ci95_low"": 0.0, ""mean"": 0.0, ""n"": 2, ""sample_sd"": 0.0}",640000,"{""ci95_high"": 0.6107850074768066, ""ci95_low"": 0.6107850074768066, ""mean"": 0.6107850074768066, ""n"": 2, ""sample_sd"": 0.0}",512000,"{""ci95_high"": 10.595781128499311, ""ci95_low"": 9.246424734997134, ""mean"": 9.921102931748223, ""n"": 2, ""sample_sd"": 0.07509358225112636}",128000
"{""ci95_high"": 30.177390000000017, ""ci95_low"": 22.172609999999985, ""mean"": 26.175, ""n"": 2, ""sample_sd"": 0.44547727214752675}","{""ci95_high"": 27.304720000000014, ""ci95_low"": 24.25527999999999, ""mean"": 25.78, ""n"": 2, ""sample_sd"": 0.1697056274847728}",s,208000,random,"{""ci95_high"": 31.46094999999999, ""ci95_low"": 16.849050000000013, ""mean"": 24.155, ""n"": 2, ""sample_sd"": 0.8131727983645286}","{""ci95_high"": 27.177679999999988, ""ci95_low"": 20.062320000000007, ""mean"": 23.619999999999997, ""n"": 2, ""sample_sd"": 0.3959797974644657}",8000,"{""ci95_high"": 0.4305056266021729, ""ci95_low"": 0.4189378853607177, ""mean"": 0.4247217559814453, ""n"": 2, ""sample_sd"": 0.0006437610793990475}","{""ci95_high"": 0.016841411590576172, ""ci95_low"": 0.016841411590576172, ""mean"": 0.016841411590576172, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,reproduced-local,2,,"[0, 1]","{""ci95_high"": 0.004447943106759339, ""ci95_low"": 0.0018415632243268193, ""mean"": 0.0031447531655430794, ""n"": 2, ""sample_sd"": 0.0001450487084224958}",128000,"{""ci95_high"": 0.027820110321044922, ""ci95_low"": 0.027820110321044922, ""mean"": 0.027820110321044922, ""n"": 2, ""sample_sd"": 0.0}",0,"{""ci95_high"": 8.761758541353096, ""ci95_low"": 8.235401855763776, ""mean"": 8.498580198558436, ""n"": 2, ""sample_sd"": 0.02929249029616584}",32000
"{""ci95_high"": 43.23748999999999, ""ci95_low"": 13.63251000000001, ""mean"": 28.435, ""n"": 2, ""sample_sd"": 1.6475588001646546}","{""ci95_high"": 41.54836, ""ci95_low"": 14.611639999999994, ""mean"": 28.08, ""n"": 2, ""sample_sd"": 1.4990663761154814}",s,208000,u2,"{""ci95_high"": 37.57128000000001, ""ci95_low"": 15.208719999999992, ""mean"": 26.39, ""n"": 2, ""sample_sd"": 1.2445079348883248}","{""ci95_high"": 38.49188, ""ci95_low"": 13.588119999999995, ""mean"": 26.04, ""n"": 2, ""sample_sd"": 1.3859292911256338}",8000,"{""ci95_high"": 0.5726964810943603, ""ci95_low"": 0.4559924837493897, ""mean"": 0.514344482421875, ""n"": 2, ""sample_sd"": 0.006494741690083864}","{""ci95_high"": 0.016841411590576172, ""ci95_low"": 0.016841411590576172, ""mean"": 0.016841411590576172, ""n"": 2, ""sample_sd"": 0.0}",third_bitlogic_cifar10,our-transfer,2,,"[0, 1]","{""ci95_high"": 0.32714159548212773, ""ci95_low"": 0.3264275424282532, ""mean"": 0.3267845689551905, ""n"": 2, ""sample_sd"": 3.973805733682024e-05}",128000,"{""ci95_high"": 0.027820110321044922, ""ci95_low"": 0.027820110321044922, ""mean"": 0.027820110321044922, ""n"": 2, ""sample_sd"": 0.0}",0,"{""ci95_high"": 9.104301888163764, ""ci95_low"": 7.840665582969222, ""mean"": 8.472483735566493, ""n"": 2, ""sample_sd"": 0.07032313870270544}",32000
"{""ci95_high"": 56.49894429681033, ""ci95_low"": 54.16772236985633, ""mean"": 55.33333333333333, ""n"": 3, ""sample_sd"": 0.46918368826434476}","{""ci95_high"": 56.96237384362588, ""ci95_low"": 54.42429281668295, ""mean"": 55.69333333015442, ""n"": 3, ""sample_sd"": 0.5108163249351327}",l,8192000,random,"{""ci95_high"": 56.25386005584349, ""ci95_low"": 54.38613994415651, ""mean"": 55.32, ""n"": 3, ""sample_sd"": 0.3758989225842504}","{""ci95_high"": 56.429727293473995, ""ci95_low"": 54.623606058932815, ""mean"": 55.526666676203405, ""n"": 3, ""sample_sd"": 0.3635014806942071}",256000,"{""ci95_high"": 4.610544898505728, ""ci95_low"": 4.560766747002084, ""mean"": 4.585655822753906, ""n"": 3, ""sample_sd"": 0.010018392692443617}","{""ci95_high"": 0.3977208137512207, ""ci95_low"": 0.3977208137512207, ""mean"": 0.3977208137512207, ""n"": 3, ""sample_sd"": 0.0}",third_lilogic_cifar10,reproduced-local,2,"{""accuracy_pct"": 54.76, ""label"": ""LILogicNet fixed L"", ""provenance"": ""reported""}","[0, 1, 2]","{""ci95_high"": 1.9069290988042502, ""ci95_low"": 1.8423482529302888, ""mean"": 1.8746386758672695, ""n"": 3, ""sample_sd"": 0.012997595427547769}",4096000,"{""ci95_high"": 1.55708646774292, ""ci95_low"": 1.55708646774292, ""mean"": 1.55708646774292, ""n"": 3, ""sample_sd"": 0.0}",0,"{""ci95_high"": 15.472914505391026, ""ci95_low"": 14.930230855498715, ""mean"": 15.20157268044487, ""n"": 3, ""sample_sd"": 0.10922096840000019}",1024000
