architecture,benchmark_checkpoint_sha256_matches_freeze,best_test_hard_pct,best_test_relaxed_pct,best_validation_hard_pct,coordinate,deployed_routing_bits,family,fan_in,final_test_hard_pct,final_test_relaxed_pct,final_validation_hard_pct,gate_count,heldout_checkpoint_queries,inference_examples_per_second,inference_ms_per_batch128,inference_peak_gpu_gib,name,phase,provenance,rank,seed,test_checkpoint_sha256_matches_freeze,topology_construction_seconds,trainable_parameters,training_peak_gpu_gib,training_routing_parameters,training_wall_minutes,truth_table_bits
DlgnCifar10Medium,True,58.7999990284443,58.84999895095825,59.31999880075455,m,16640000,u2,2,58.76999828219414,58.81999877095222,58.579998672008514,512000,2,14337.816590160553,8.927440185546875,0.4172520637512207,third_u2_cifar10_m_seed0,third_u2_dense_cifar10_ml,our-transfer,2,0,True,14.321669531520456,8192000,1.123354434967041,0,41.355007041168086,2048000
DlgnCifar10Medium,True,58.68999880552291,58.59999856352807,59.779998779296875,m,16640000,u2,2,58.64999869465828,58.6599988937378,59.21999841928483,512000,2,14521.749053558035,8.814365234375,0.4172520637512207,third_u2_cifar10_m_seed1,third_u2_dense_cifar10_ml,our-transfer,2,1,True,14.38257985888049,8192000,1.123354434967041,0,41.56936824894898,2048000
DlgnCifar10Medium,True,58.469998806715004,58.51999869942666,59.539999067783356,m,16640000,u2,2,58.4099987745285,58.31999871134757,59.25999844074249,512000,2,14388.22306729468,8.89616455078125,0.4172520637512207,third_u2_cifar10_m_seed2,third_u2_dense_cifar10_ml,our-transfer,2,2,True,14.29430566681549,8192000,1.123354434967041,0,41.24188547670298,2048000
DlgnCifar10Large,True,60.07999870181083,60.40999862551689,61.559998214244835,l,44032000,u2,2,60.60999861359596,60.839998722076416,61.33999878168106,1280000,2,4831.490204650501,26.492861328125,0.8547978401184082,third_u2_cifar10_l_seed0,third_u2_dense_cifar10_ml,our-transfer,2,0,True,32.0019569164142,20480000,2.7172112464904785,0,113.75818995431376,5120000
DlgnCifar10Large,True,60.54999887943268,60.83999854326249,61.65999841690063,l,44032000,u2,2,60.61999863386154,60.6399986743927,60.95999884605408,1280000,2,4989.922847155441,25.65169921875,0.8547978401184082,third_u2_cifar10_l_seed1,third_u2_dense_cifar10_ml,our-transfer,2,1,True,30.45236356416717,20480000,2.7172112464904785,0,112.7937990572808,5120000
DlgnCifar10Large,True,60.75999867916108,60.74999889731407,60.99999910593033,l,44032000,u2,2,60.699998915195465,60.729998886585236,60.83999878168106,1280000,2,4908.89038841981,26.07513916015625,0.8547978401184082,third_u2_cifar10_l_seed2,third_u2_dense_cifar10_ml,our-transfer,2,2,True,31.198277412215248,20480000,2.7172112464904785,0,114.02666706284896,5120000
DlgnCifar10LilogicM,True,48.730000000000004,48.77,49.06000004291534,m,1920000,random,2,48.67,48.68,48.939999980926515,64000,2,155634.4473401667,0.8224400329589844,0.1760411262512207,third_lilogic_m_random_seed0,third_lilogic_cifar10,reproduced-local,2,0,True,0.12357944902032614,1024000,0.4736208915710449,0,14.650781549734528,256000
DlgnCifar10LilogicM,True,49.5,49.55,50.04000007629394,m,1920000,random,2,49.63,49.65,49.939999952316285,64000,2,141817.71674978637,0.9025670623779297,0.1760411262512207,third_lilogic_m_random_seed1,third_lilogic_cifar10,reproduced-local,2,1,True,0.12755024107173085,1024000,0.4736208915710449,0,14.625407915236428,256000
DlgnCifar10LilogicM,True,48.8,48.82,50.01999995231628,m,1920000,random,2,49.35,49.419999999999995,49.68000007629394,64000,2,131879.97088411974,0.9705795288085938,0.1760411262512207,third_lilogic_m_random_seed2,third_lilogic_cifar10,reproduced-local,2,2,True,0.10078366007655859,1024000,0.4736208915710449,0,14.58921508101824,256000
DlgnCifar10LilogicM,True,52.849999999999994,52.769999999999996,53.17999995231628,m,1920000,u2,2,52.849999999999994,52.769999999999996,53.17999995231628,64000,2,141374.08413912237,0.9053993225097656,0.1760411262512207,third_lilogic_m_u2_seed0,third_lilogic_cifar10,our-transfer,2,0,True,2.4850996481254697,1024000,0.4736208915710449,0,14.94750261476341,256000
