arm,seed,best_hardened_validation_percent
warp_fixed_uniform,0,65.35
warp_fixed_uniform,1,
warp_fixed_uniform,2,
warp_fixed_distributive,0,66.12
warp_fixed_distributive,1,
warp_fixed_distributive,2,
warp_learnable,0,65.88000000000001
warp_learnable,1,
warp_learnable,2,
paired_random_fixed_uniform,0,64.58
paired_random_fixed_uniform,1,
paired_random_fixed_uniform,2,
legacy_v4_fixed_uniform,0,66.23
legacy_v4_fixed_uniform,1,
legacy_v4_fixed_uniform,2,
paired_random_learnable,0,
paired_random_learnable,1,
paired_random_learnable,2,
legacy_v4_learnable,0,
legacy_v4_learnable,1,
legacy_v4_learnable,2,
