step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.49386550903320314,0.489,0.5298,1.4654503889083863,1.3360100128173829
4000,0.001,1.0,0.41195480346679686,0.5204,0.5582,1.3389497661590577,1.2426528803825378
6000,0.001,1.0,0.3912990951538086,0.5582,0.5796,1.2711333119392394,1.1991057083129883
8000,0.001,1.0,0.37900386810302733,0.5612,0.5824,1.2466281467437743,1.177325782585144
10000,0.001,1.0,0.37210063934326176,0.5598,0.5874,1.2391207200050354,1.160581593322754
12000,0.001,1.0,0.36628318786621095,0.5692,0.596,1.2095002294540405,1.1425385484695434
14000,0.001,1.0,0.36173297882080074,0.5846,0.5958,1.1998986827850342,1.1344682469367982
16000,0.001,1.0,0.35858726501464844,0.5712,0.5964,1.2151805229187012,1.1246253799438477
18000,0.001,1.0,0.3561086654663086,0.579,0.6,1.1980972576141358,1.1215209049224855
20000,0.001,1.0,0.35413322448730467,0.5768,0.6022,1.2065892433166503,1.1144608721733094
22000,0.001,1.0,0.3515536117553711,0.5804,0.6094,1.1812832902908326,1.1069861380577088
24000,0.001,1.0,0.35031269073486326,0.5822,0.6128,1.1855967531204223,1.1028093286514282
26000,0.001,1.0,0.34856071472167965,0.5892,0.612,1.1709431434631348,1.0997622638702393
28000,0.001,1.0,0.34739463806152343,0.582,0.617,1.1745033288955689,1.1002434500694276
30000,0.001,1.0,0.34641475677490235,0.5866,0.6128,1.1810373023986815,1.0950732365608216
32000,0.001,1.0,0.34522102355957035,0.5872,0.6156,1.1724111143112184,1.0938377480506898
34000,0.001,1.0,0.3441383361816406,0.587,0.6166,1.1660290224075318,1.0906409551620484
36000,0.001,1.0,0.34368843078613276,0.5848,0.619,1.1736551679611207,1.0868073955535889
38000,0.001,1.0,0.3424221420288086,0.5908,0.6196,1.1567448263168334,1.0864272789955138
40000,0.001,1.0,0.3419722747802734,0.5952,0.6232,1.1526944177627563,1.087373090362549
42000,0.001,1.0,0.3414799880981445,0.5916,0.617,1.1557404481887816,1.0858557107925415
44000,0.001,1.0,0.34080234527587894,0.5932,0.62,1.1589163053512572,1.0823024166107178
46000,0.001,1.0,0.34011569976806644,0.5902,0.6212,1.154778336906433,1.0812088816642762
48000,0.001,1.0,0.33948554992675783,0.5884,0.6216,1.158446131515503,1.0834171224594116
50000,0.001,1.0,0.33945316314697266,0.5884,0.6168,1.1619062650680543,1.0827809342384338
52000,0.001,1.0,0.33851734161376956,0.592,0.6228,1.1568243829727174,1.0830879050254822
54000,0.001,1.0,0.33835414886474613,0.5868,0.6174,1.1605121965408325,1.0853960229873658
56000,0.001,1.0,0.33796466827392574,0.5966,0.621,1.1523949528694153,1.0826582447052002
58000,0.001,1.0,0.3378656768798828,0.5918,0.6216,1.158113176727295,1.0798278699874877
60000,0.001,1.0,0.33793399810791014,0.5874,0.623,1.1601256265640258,1.0807459241867066
62000,0.001,1.0,0.337386589050293,0.5912,0.6152,1.155497521686554,1.080408827495575
64000,0.001,1.0,0.3367452621459961,0.5886,0.6186,1.1469877469062806,1.0790935289382935
66000,0.001,1.0,0.3366205596923828,0.5976,0.6252,1.1503165377616882,1.0805911764144898
68000,0.001,1.0,0.3362673950195313,0.5908,0.6176,1.1557578479766846,1.0796906566619873
70000,0.001,1.0,0.33652359008789057,0.596,0.6242,1.1464190155029297,1.0775215032577514
72000,0.001,1.0,0.3357814025878907,0.5942,0.621,1.152141888809204,1.0759973950386048
74000,0.001,1.0,0.3363707733154297,0.599,0.6218,1.1469233277320863,1.0787358304977417
76000,0.001,1.0,0.3351711654663086,0.5952,0.6218,1.1545834193229676,1.0747273940086364
78000,0.001,1.0,0.33509925842285154,0.5942,0.6212,1.1489120532989503,1.0755479021072387
80000,0.001,1.0,0.3351361846923828,0.601,0.6254,1.1474318788528441,1.0759218103408814
82000,0.001,1.0,0.33484066009521485,0.5894,0.6184,1.1647381212234498,1.0776719902038574
84000,0.001,1.0,0.33514869689941407,0.5946,0.6196,1.1512361303329468,1.0792939878463745
86000,0.001,1.0,0.33442897796630855,0.592,0.6218,1.1497617092132568,1.075417484855652
88000,0.001,1.0,0.33444694519042967,0.589,0.6204,1.1662876401901245,1.0756520142555237
90000,0.001,1.0,0.3348970413208008,0.5894,0.6184,1.164981451034546,1.0774918192863465
92000,0.001,1.0,0.3341207504272461,0.5948,0.6232,1.1547523529052734,1.074041022872925
