step,connections_temperature,parametrization_temperature,train_loss,val_acc_discrete,val_acc_relaxed,val_loss_discrete,val_loss_relaxed
2000,0.001,1.0,0.4870071029663086,0.498,0.5398,1.451139444732666,1.3120299798965454
4000,0.001,1.0,0.40681179046630855,0.544,0.5706,1.2990217432975768,1.218829020500183
6000,0.001,1.0,0.3863859558105469,0.5616,0.5906,1.247615196800232,1.179387504863739
8000,0.001,1.0,0.374967155456543,0.5602,0.594,1.2330667823791504,1.1556561109542847
10000,0.001,1.0,0.3679308700561523,0.5704,0.5956,1.2168120118141175,1.1467644748687744
12000,0.001,1.0,0.3622432708740234,0.5786,0.6028,1.2051835948944092,1.1346799360275268
14000,0.001,1.0,0.3579643630981445,0.5686,0.601,1.2296864585876466,1.1259679092407227
16000,0.001,1.0,0.3549541473388672,0.5806,0.6104,1.195271174430847,1.116292674636841
18000,0.001,1.0,0.35230205535888676,0.578,0.6098,1.189192308807373,1.1136112469673156
20000,0.001,1.0,0.35007930755615235,0.585,0.6096,1.1931722576141357,1.1104417055130005
22000,0.001,1.0,0.34820865631103515,0.5858,0.6144,1.182551799964905,1.1074296301841735
24000,0.001,1.0,0.346664924621582,0.5826,0.616,1.1928969544410706,1.1000084101676941
26000,0.001,1.0,0.345083122253418,0.5832,0.614,1.1780750637054442,1.0977611194610595
28000,0.001,1.0,0.3436995315551758,0.58,0.6198,1.1904966876029968,1.098606104373932
30000,0.001,1.0,0.34285263061523436,0.5728,0.616,1.196577543258667,1.093896531677246
32000,0.001,1.0,0.3414968490600586,0.5806,0.6202,1.1789910287857055,1.090381578731537
34000,0.001,1.0,0.34046344757080077,0.5816,0.6152,1.1758194799423218,1.0951267315864563
36000,0.001,1.0,0.3401538848876953,0.5898,0.62,1.1588392812728883,1.09096419506073
38000,0.001,1.0,0.3393369674682617,0.5858,0.6214,1.1646818647384642,1.0880363226890564
40000,0.001,1.0,0.3384990692138672,0.5856,0.62,1.169384907913208,1.0871757804870605
42000,0.001,1.0,0.33819694519042964,0.5828,0.6196,1.1717798543930054,1.0872733097076417
44000,0.001,1.0,0.3373318862915039,0.5902,0.6214,1.1634299060821534,1.0857911304473877
46000,0.001,1.0,0.33683841705322265,0.586,0.6242,1.1716995096206666,1.0850524768829346
48000,0.001,1.0,0.33665218353271487,0.589,0.6212,1.1696854724884034,1.0866740535736084
50000,0.001,1.0,0.3364062118530273,0.5926,0.6242,1.1620108736991883,1.0852798499107361
52000,0.001,1.0,0.3349635696411133,0.5812,0.621,1.1859527182579042,1.0849193562507629
54000,0.001,1.0,0.3352371215820313,0.583,0.624,1.186583682823181,1.0878289252281188
56000,0.001,1.0,0.3355921936035156,0.583,0.6272,1.1694693464279176,1.0842716471672058
58000,0.001,1.0,0.3346973419189453,0.5838,0.626,1.1678783375740052,1.0818948614120483
60000,0.001,1.0,0.3343014526367188,0.5818,0.6254,1.1689118946075439,1.0808702382087707
62000,0.001,1.0,0.33389381408691404,0.5844,0.624,1.1677653827667236,1.0812794569015503
64000,0.001,1.0,0.3345903015136719,0.5898,0.6228,1.1618149075508117,1.0816224067687987
66000,0.001,1.0,0.33365730285644535,0.5834,0.6236,1.176038743209839,1.0807847113609315
68000,0.001,1.0,0.3330981063842774,0.5826,0.6212,1.1704065512657165,1.0822118439674377
70000,0.001,1.0,0.33312812805175784,0.5928,0.625,1.153127684020996,1.0784334810256957
72000,0.001,1.0,0.33320571899414064,0.587,0.6258,1.1698920211791992,1.0790739228248596
74000,0.001,1.0,0.3325982284545898,0.5788,0.6236,1.1750917589187622,1.0800709829330444
76000,0.001,1.0,0.3329490280151367,0.59,0.6262,1.171363892173767,1.0787228484153748
78000,0.001,1.0,0.33200237274169925,0.5928,0.6252,1.1588118290901184,1.0799797951698302
80000,0.001,1.0,0.3325503921508789,0.593,0.6236,1.1558284838676454,1.0778625675201416
82000,0.001,1.0,0.3315324401855469,0.5896,0.623,1.1484676221847534,1.0787143379211426
84000,0.001,1.0,0.3322011184692383,0.5892,0.6252,1.1533134328842163,1.078009327316284
86000,0.001,1.0,0.3317413330078125,0.5852,0.6252,1.1638290224075318,1.07822884349823
88000,0.001,1.0,0.33164760589599607,0.5866,0.628,1.1584585488319397,1.077423073387146
90000,0.001,1.0,0.3315827178955078,0.591,0.627,1.1597302684783934,1.0766747068405151
92000,0.001,1.0,0.3316426467895508,0.581,0.628,1.1638002646446228,1.076050393295288
